source,shared_from,date,text,reactions,likes,ahah,love,wow,sigh,grrr,comments,post_id,url,share
"Blog Tâm Sự,Blogtamsu Chuyện Chúng Mình",Blogtamsu Chuyện Chúng Mình,2019-11-26 08:53:52,:p Nhìn rất là quen nhéNhìn quen lắm :p,883,718,163,2,,,1,492 bình luậ,3801550903435707,/story.php?story_fbid=3801550903435707&id=1439668462957308,Lưu
"Blog Tâm Sự,Timviec.com.vn",Timviec.com.vn,2019-11-27 23:45:30,Hơn cả mẹ em rồi 😃Chị là đồng nghiệp hay là mẹ em vậy chị? 😀 CÁCH VIẾT ĐƠN NGHỈ VIỆC CHUẨN NHẤT: https://news.timviec.com.vn/mau-don-xin-nghi-viec-chuyen-nghiep-nhat-hien-nay-654.html,46,32,14,,,,,8 bình luậ,3801476853443112,/story.php?story_fbid=3801476853443112&id=1439668462957308,Lưu
Blog Tâm Sự,,2019-11-27 23:36:27,Chi Pu sang chảnh bao nhiêu thì chị Nhi nhà mình lấy bấy nhiêu. Mà lầy chứ thần thái vẫn không thua nha 😄,49,46,3,,,,,1 bình luậ,3801517600105704,/story.php?story_fbid=3801517600105704&id=1439668462957308,Lưu
"Blog Tâm Sự,Blogtamsu Chuyện Chúng Mình",Blogtamsu Chuyện Chúng Mình,2019-11-26 11:41:32,:p sướng nhaChạy đâu cho hết giàu :D,447,336,98,11,1,1,,201 bình luậ,3801550183435779,/story.php?story_fbid=3801550183435779&id=1439668462957308,Lưu
"Blog Tâm Sự,Kenhthethao.vn",Kenhthethao.vn,2019-11-27 10:26:04,Tao cạn lời luôn 🙂Nghĩ nó chán :),89,64,24,1,,,,Bình luậ,3801135416810589,/story.php?story_fbid=3801135416810589&id=1439668462957308,Lưu
Blog Tâm Sự,,2019-11-27 23:24:51,Cô giáo chủ nhiệm đích thân lên tiếng vì những thông tin sai lệch về học trò của mình 😕,62,56,2,4,,,,Bình luậ,3801516880105776,/story.php?story_fbid=3801516880105776&id=1439668462957308,Lưu
"Blog Tâm Sự,J4F - Just For Fans",J4F - Just For Fans,2019-11-27 10:17:37,"Mong anh hãy an nghỉCAO DĨ TƯỜNG ĐỘT TỬ KHI ĐANG QUAY SHOW. Đài Chiết Giang gửi công văn đi thông báo diễn viên Cao Dĩ Tường đã đột ngột qua đời. Theo thông tin, Cao Dĩ Tường đột nhiên ngất xỉu khi đang quay show truyền hình thực tế ""Đuổi Theo Tôi Đi"". Anh luôn miệng nói: ""Tôi không thể"" với thể trạng mệt mỏi, sau đó đột nhiên ngất xỉu. Các bác sĩ đã cố gắng giúp anh hô hấp trong vòng 10 phút, sau đó phải nhanh chóng đưa Cao Dĩ Tường tới bệnh viện.",68,53,,,,15,,Bình luậ,3801574113433386,/story.php?story_fbid=3801574113433386&id=1439668462957308,Lưu
Blog Tâm Sự,,2019-11-27 23:15:01,Giúp người lúc hoạn nạn còn hơn cả xây toà tháp 7 tầng!,30,30,,,,,,2 bình luậ,3801314586792672,/story.php?story_fbid=3801314586792672&id=1439668462957308,Lưu
Blog Tâm Sự,,2019-11-27 23:12:36,Hóa ra mấy hôm nay là lừa nhau à 🤔,65,61,4,,,,,1 bình luậ,3801555056768625,/story.php?story_fbid=3801555056768625&id=1439668462957308,Lưu
"Blog Tâm Sự,Blogtamsu Chuyện Chúng Mình",Blogtamsu Chuyện Chúng Mình,2019-11-26 15:59:04,:p ăn đến lúc không còn răng để ăn luôn :p:p Bạn thân ơi đi ăn thôi,256,240,11,5,,,,93 bình luậ,3801549116769219,/story.php?story_fbid=3801549116769219&id=1439668462957308,Lưu
"Blog Tâm Sự,Blog Tâm Sự Video",Blog Tâm Sự Video,2019-11-27 11:37:41,"Câu chuyện giờ mới được giải đáp ..CÂU CHUYỆN SAU CHIA TAY CỦA NGÔ KIẾN HUY VÀ KHỔNG TÚ QUỲNH. Kể từ khi cặp đôi chia tay, khán giả bày tỏ sự tiếc nuối cho một mối tình thanh xuân 8 năm. Và khi trở lại với mv mới, Ngô Kiến Huy vẫn share và kêu gọi ủng hộ cho Khổng Tú Quỳnh, khán giả thầm mừng vì thật sự sau chia tay họ vẫn giữ mối quan hệ tốt. Và chia sẻ mới đây nhất của Khổng Tú Quỳnh, cô nàng cũng thẳng thắn: ""Nếu chạm mặt nhau tôi vẫn thoải mái đối diện"".",79,75,3,1,,,,Bình luậ,3801492886774842,/story.php?story_fbid=3801492886774842&id=1439668462957308,Lưu
"Blog Tâm Sự,Timviec.com.vn",Timviec.com.vn,2019-11-27 22:45:36,Con nhà người ta chưa bao giờ làm bố mẹ mình thất vọng 🙂Chứng tỏ bản thân cho bố mẹ lác mắt đi chị em 😂 CƠ HỘI VIỆC LÀM TRONG NGÀNH NGHỆ THUẬT: https://timviec.com.vn/nghe-thuat-dien-anh,288,237,47,1,,3,,18 bình luậ,3801475653443232,/story.php?story_fbid=3801475653443232&id=1439668462957308,Lưu
Blog Tâm Sự,,2019-11-27 22:39:06,"Hoá ra làm giàu đâu có khó, thanh niên này cũng tính toán cả rồi 😎",202,186,16,,,,,18 bình luậ,3801852220072242,/story.php?story_fbid=3801852220072242&id=1439668462957308,Lưu
Blog Tâm Sự,,2019-11-27 22:36:11,Không hổ là ông hoàng giải trí 😬 Đi sinh nhật người ta mà cũng phải nổi trội nhất mới chịu 😂,130,126,4,,,,,Bình luậ,3801554286768702,/story.php?story_fbid=3801554286768702&id=1439668462957308,Lưu
Blog Tâm Sự,,2019-11-27 22:30:00,Ít cũng phải 3 đứa :),24K,21K,"2,9K",240,40,80,16,8.521 bình luậ,3801137790143685,/story.php?story_fbid=3801137790143685&id=1439668462957308,Lưu
Blog Tâm Sự,,2019-11-27 22:24:02,Thi đấu mà cứ làm như trò đùa,156,124,23,,3,4,2,23 bình luậ,3801515893439208,/story.php?story_fbid=3801515893439208&id=1439668462957308,Lưu
"Blog Tâm Sự,Troll thể thao",Troll thể thao,2019-11-27 22:21:04,"Để mà gây ấn tượng thì có nhiều cách lắm 😌Không ghi bàn, Rô điệu vẫn gây chú ý với phụ kiện bờm tóc 😎😎😎 Cập nhập tin tức thể thao hàng ngày tại : http://webtintuc.com/the-thao",57,50,7,,,,,Bình luậ,3801468920110572,/story.php?story_fbid=3801468920110572&id=1439668462957308,Lưu
