source,shared_from,date,text,reactions,likes,ahah,love,wow,sigh,grrr,comments,post_id,url,share
Địa điểm ăn uống,,2019-11-27 23:00:25,"Vớt hoài luôn LẨU TOKBOKKI SIÊU TOPPING 80K/2 ĐỨA ĂN no chất ngất Xem địa chỉ: https://app.lixibook.vn/SMshj0Bm Cả 1 nồi lẩu gồm có tokbokki, nấm bào ngư, chả cá, đậu hủ non... thêm gói mì nữa là 2 người dư sức ăn no nê đó nha.",650,616,3,27,3,1,,251 bình luậ,3282803735080297,/story.php?story_fbid=3282803735080297&id=140144812679554,Lưu
Địa điểm ăn uống,,2019-11-27 22:00:01,"Cho cái hẹn chiến LẨU BẮP BÒ NHÚNG MẺ 150K ngon rẻ xám hồn nè! Xem chi tiết: https://app.lixibook.vn/qn23389e Hấp dẫn muốn xỉu luôn hà 🥙 😍 🍝  nước lẩu chua chua đậm đà ăn đã ghê, phần đầy ắp thịt bắp bò, bò viên, tàu hủ, bò gân...ăn no nê nha, tụ tập đi chiến thôi   🌮🥗",394,372,4,13,4,,1,179 bình luậ,3282790208414983,/story.php?story_fbid=3282790208414983&id=140144812679554,Lưu
Địa điểm ăn uống,,2019-11-27 21:30:28,Tầm này chịu gì nổi....MILO - SOCOLA FULL TRÂN CHÂU triển liền thôi nè Cre: Sưu Tầm --------------------------------------- 👉Follow Instagram chính thức của Địa Điểm Ăn Uống nhé cả nhà: https://www.instagram.com/diadiemanuong/,"3,1K","2,8K",20,175,88,10,1,1.310 bình luậ,3282822691745068,/story.php?story_fbid=3282822691745068&id=140144812679554,Lưu
Địa điểm ăn uống,,2019-11-27 21:00:49,"Dò cho ra tọa độ VIEW LÁ PHONG ĐỎ ĐẸP TỰA TRỜI TÂY ở Đà Lạt - khiến dân tình mê mệt Xem chi tiết: https://app.lixibook.vn/QQLedqr5 Thiệt không tin được cứ tưởng đâu ở nước ngoài không á...bắt sóng ngay tọa độ ngắm rừng lá phong đỏ đẹp tựa trời Tây ngay Đà Lạt luôn, lên hình đẹp xuất sắc triển liền thôi","3,1K","2,9K",29,135,49,6,,782 bình luậ,3282635628430441,/story.php?story_fbid=3282635628430441&id=140144812679554,Lưu
Địa điểm ăn uống,,2019-11-27 20:30:36,"Trốn cả thế giới check-in ngay ""7749 ĐIỂM SỐNG ẢO"" ĐẸP HÚT HỒN Ở BẢO LỘC không phải ai cũng biết Xem chi tiết: https://app.lixibook.vn/4fOrUfB6 Đi mà muốn ảnh đẹp thì ghim liền mấy tọa độ này liền...""7749 tọa độ sống ảo"" đẹp vi diệu ngay Bảo Lộc mà không phải ai cũng biết đâu nha, lên hình xuất lắm lắm nha....tranh thủ liền nè",234,226,,7,1,,,41 bình luậ,3282681935092477,/story.php?story_fbid=3282681935092477&id=140144812679554,Lưu
Địa điểm ăn uống,,2019-11-27 20:00:03,"""Né hết ra cho em leo top cái nè"" VỊT CHIÊN SẢ ỚT nổi nhất khu Chợ Lớn  Xem chi tiết: http://bit.ly/2QQKc4R Mồi bén nhâm nhi quên sầu nha cả nhà (y) 🥗  quán có đủ ruột, lưỡi, thịt ức, cổ vịt ướp đậm đà, chiên thơm muốn rụng rời, ăn kèm rau muống, đậu bắp, chấm nước chấm đỉnh luôn 🥙 💟  Ăn chiên nóng, sợ ngấy thì quất liền chai Cola-Cola mát lạnh là chuẩn đét, Coca-Cola tê tê sảng khoái, giúp trung hòa vị nóng, món ngon thêm tròn vị hơn nha! 😋 😍",417,395,1,16,3,2,,91 bình luậ,3283002335060437,/story.php?story_fbid=3283002335060437&id=140144812679554,Lưu
Địa điểm ăn uống,,2019-11-27 19:30:00,"Chill tưng bừng cùng COCKTAIL STRONGBOW ÚP NGƯỢC NGAY PHỐ BÙI VIỆN vui đừng hỏi 🤩🤩🤩 Tối rủ hội bạn chill cùng Strongbow Cocktail Upside Down với các vị Táo ngầu, Dâu điệu, Dâu FA và Honey chảnh, ta nói cocktail thơm ngon cùng men táo lâng lâng uống đã lắm nha. Ly cocktail được trang trí cực chất nên mấy fen tha hồ lia máy sống ảo nhé. Thử ngay Strongbow úp ngược ở Bùi Viện nha các bạn ơii. Xem địa chỉ: https://bitly.com.vn/0j9OY #Strongbow #Cider #StrongbowUpsideDown #busnaychillphet #Bus_này_chill_phết",308,296,2,9,1,,,83 bình luậ,3282968688397135,/story.php?story_fbid=3282968688397135&id=140144812679554,Lưu
Địa điểm ăn uống,,2019-11-27 19:00:00,"Mau chân gom phụ kiện xinh-chất-hời một năm có một nè các chế. Xách ví và đi ngay, không thôi cơ hội vụt bay. Và đừng bao giờ đi sắm phụ kiện một mình, rủ mấy đứa bạn thân đi cùng cho vui nữa nè 💍📿👜",109,102,,6,1,,,47 bình luậ,3283184018375602,/story.php?story_fbid=3283184018375602&id=140144812679554,Lưu
Địa điểm ăn uống,,2019-11-27 18:00:52,"Hội chị em nhanh tay ""gom lúa"" 3 THƯƠNG HIỆU MỸ PHẨM LỚN ĐANG SALE rầm rộ tới 90% dịp Black Friday Xem chi tiết: https://app.lixibook.vn/z3gjKZAe Hội chị em tranh thủ gôm liền nha The Face Shop, Shu Uemura, Nuty Cosmetics...sale bùng cháy rầm rộ tới 90% dịp Black Friday nè...gom lúa lẹ lẹ kẻo hết nha mấy thánh ơi",207,201,1,2,3,,,48 bình luậ,3283287015031969,/story.php?story_fbid=3283287015031969&id=140144812679554,Lưu
Địa điểm ăn uống,,2019-11-27 17:00:25,"Check-in ngay NGÔI NHÀ BONG BÓNG SĂN MÂY mới hoàn thành sống ảo ""siêu hot"" ở Đà Lạt Xem chi tiết: https://app.lixibook.vn/i8FfpOTv Tranh thủ xếp đồ làm chuyến Đà Lạt liền cả nhà ơi....bắt sóng ngay tọa độ siêu độc đáo ""ngôi nhà bong bóng săn mây"" hớp hồn hội sống ảo, đẹp vi diệu luôn nè...hú đồng bọn làm 1 chuyến liền nè","1,6K","1,5K",5,81,21,1,1,450 bình luậ,3281855751841762,/story.php?story_fbid=3281855751841762&id=140144812679554,Lưu
