source,shared_from,date,text,reactions,likes,ahah,love,wow,sigh,grrr,comments,post_id,url,share
Bongda24h.vn,,2019-11-28 00:02:01,Ngồi chờ đến 3h...,653,595,39,19,,,1,12 bình luậ,3254070361301322,/story.php?story_fbid=3254070361301322&id=717309238310793,Lưu
Bongda24h.vn,,2019-11-27 22:53:14,Nhiều người sốc quá -.-,62,62,,,,,,5 bình luậ,3253874234654268,/story.php?story_fbid=3253874234654268&id=717309238310793,Lưu
Bongda24h.vn,,2019-11-27 21:41:12,Loading [////95%///..],"1,4K","1,3K",60,69,3,5,3,68 bình luậ,3253659751342383,/story.php?story_fbid=3253659751342383&id=717309238310793,Lưu
Bongda24h.vn,,2019-11-27 20:28:29,"VIDEO: HÀ ĐỨC CHINH TỎA SÁNG: KHÔNG CHỈ LÀ CÁI ĐẦU VÀNG Gửi các bạn video chúng tôi làm về Hà Đức Chinh: https://bongda24h.vn/tin-bong-da/video-ha-duc-chinh-toa-sang-khong-chi-la-cai-dau-vang-279-237388.html Cú poker bàn thắng vào lưới U22 Brunei như lời khẳng định của Hà Đức Chinh với người hâm mộ rằng mình đang ngày càng hoàn thiện bản thân, để có thể trở thành một chân sút xuất sắc nhất...",95,93,1,,1,,,Bình luậ,3253073011401057,/story.php?story_fbid=3253073011401057&id=717309238310793,Lưu
Bongda24h.vn,,2019-11-27 20:22:25,Những Golden Boy trong lịch sử bóng đá thế giới. Bạn là fan của ai?,"1,1K","1,1K",16,14,,,,83 bình luậ,3253418628033162,/story.php?story_fbid=3253418628033162&id=717309238310793,Lưu
Bongda24h.vn,,2019-11-27 19:39:40,Karim Benzema kể từ ngày CR7 rời Real Madrid: —70 trận đấu —44 bàn thắng 🍗 Biếm hoạ: BR,"1,9K","1,8K",141,12,4,,,44 bình luậ,3253292164712475,/story.php?story_fbid=3253292164712475&id=717309238310793,Lưu
Bongda24h.vn,,2019-11-27 18:50:30,Chúc mừng Joao Felix đã đoạt giải Golden Boy 2019 Những boy xếp thứ hai và thứ ba là Cậu bé bạc : Jadon Sancho Cậu bé đồng : Kai Havert,772,751,3,18,,,,16 bình luậ,3253156601392698,/story.php?story_fbid=3253156601392698&id=717309238310793,Lưu
Bongda24h.vn,,2019-11-27 18:31:47,Những gì diễn ra đã làm Tổng thống nổi giận.,111,109,2,,,,,3 bình luậ,3253108048064220,/story.php?story_fbid=3253108048064220&id=717309238310793,Lưu
"Bongda24h.vn,Bongda24h.vn",,2019-11-27 17:24:43,Jesse Lingard mùa này: 0 🎯 Cậu bé nhặt bóng sáng nay: 1 🎯11/2018: Bị chẩn đoán mắc bệnh ung thư tinh hoàn. Buộc phải tạm ngưng thi đấu để chữa trị. 2/2019: Trải qua ca phẫu thuật thành công. 9/2019: Trở lại đội hình...,"2,4K",2K,388,11,1,22,1,32 bình luậ,3252944741413884,/story.php?story_fbid=3252944741413884&id=717309238310793,Lưu
Bongda24h.vn,,2019-11-27 16:44:11,anh Reus :)))))),"2,6K","2,1K",517,15,1,4,,9 bình luậ,3252853361423022,/story.php?story_fbid=3252853361423022&id=717309238310793,Lưu
Bongda24h.vn,,2019-11-27 15:50:06,"Trên thế giới chỉ có 2 cầu thủ trong 2 trận khác nhau ở Champions League lập poker: - Người thứ nhất là Leo Messi. Khi đó là một chàng trai được tự do, bùng nổ trên hàng công Barcelona đã khiến cho cổ động viên Arsenal và Leverkusen có những ký ức Champions League khó có thể quên được. - Người thứ hai là Robert LeGOALdowski. Đã 4 lần cho hàng phòng ngự của Jose Mourinho / Real Madrid ăn hành trong một đêm ở Ruhr.",685,656,19,9,1,,,17 bình luậ,3252739238101101,/story.php?story_fbid=3252739238101101&id=717309238310793,Lưu
Bongda24h.vn,,2019-11-27 14:59:35,Thibaut Courtois vs Keylor Navas - Tổng số pha cản phá: 2/10 - Sai lầm dẫn đến bàn thua: 1/0 - Điểm số: + Courtois: 6.49 (Thấp nhất bên phía Real Madrid) + Navas: 8.76 (Cao nhất trận) Theo Whoscored,"2,5K","2,2K",249,24,4,5,,66 bình luậ,3252631748111850,/story.php?story_fbid=3252631748111850&id=717309238310793,Lưu
