source,shared_from,date,text,reactions,likes,ahah,love,wow,sigh,grrr,comments,post_id,url,share
VFootball,,2019-11-28 00:04:09,"Cám ơn ông rất nhiều, nhờ có ông mà giờ này các cháu vẫn còn thức đó <3",325,303,14,8,,,,6 bình luậ,2624651550950904,/story.php?story_fbid=2624651550950904&id=541126942636719,Lưu
VFootball,,2019-11-27 21:30:36,Chuẩn luôn !!!,600,571,9,18,,2,,11 bình luậ,2624371490978910,/story.php?story_fbid=2624371490978910&id=541126942636719,Lưu
"VFootball,YAN News",YAN News,2019-11-27 20:34:20,HAI CHIẾC BỒN CẦU ĐẶT CẠNH NHAU...??? 😳Nhìn sang chảnh hơn hẳn nhưng hình như có gì đó sai sai 🙂,12,11,1,,,,,Bình luậ,2624301354319257,/story.php?story_fbid=2624301354319257&id=541126942636719,Lưu
VFootball,,2019-11-27 20:51:52,Cậu bé nhặt bóng sáng giá nhất đêm qua!!!🤣🤣🤣,146,118,27,1,,,,Bình luậ,2624290794320313,/story.php?story_fbid=2624290794320313&id=541126942636719,Lưu
VFootball,,2019-11-27 20:21:18,JOAO FELIX được bình chọn là Golden Boy 2019!! Anh em nghĩ sao? 🤔 ẢNH: BR,98,93,,5,,,,1 bình luậ,2624231584326234,/story.php?story_fbid=2624231584326234&id=541126942636719,Lưu
VFootball,,2019-11-27 19:31:28,Em sẽ mãi không bao giờ có được AD đâu Tú Anh ạ :(,606,552,45,9,,,,12 bình luậ,2624136801002379,/story.php?story_fbid=2624136801002379&id=541126942636719,Lưu
"VFootball,YAN News",YAN News,2019-11-27 17:40:37,"CHẮC BIẾT KHÔNG THẮNG NỖI NÊN TREO GIÁ THẾ NÀY 😂NẾU LÀ THẬT THÌ CHINH ƠI ĐỪNG LÀM ""NỢ"" THÊM 🤣",30,29,1,,,,,Bình luậ,2624063131009746,/story.php?story_fbid=2624063131009746&id=541126942636719,Lưu
VFootball,,2019-11-27 18:48:49,Liệu chính Messi là một phần nguyên nhân khiến Neymar muốn quay lại Barcelona !,910,881,7,8,1,12,1,2 bình luậ,2624054047677321,/story.php?story_fbid=2624054047677321&id=541126942636719,Lưu
VFootball,,2019-11-27 18:02:10,Anh em nghĩ thắng mấy quả thì hợp lí nhỉ???😍😍😍,423,404,4,15,,,,42 bình luậ,2623982164351176,/story.php?story_fbid=2623982164351176&id=541126942636719,Lưu
VFootball,,2019-11-27 17:13:47,"Bị bỏ đói, Singapore viết ‘tâm thư’ xin BTC SEA Games… thức ăn 😳😳😳😳😳 Mới đây, tờ Newstraitstime của Singapore đăng tải một bức thư “cười ra nước mắt” do đoàn thể thao nước này viết để “cầu cứu” Ban tổ chức SEA Games 30 của nước chủ nhà Philippines (PHISGOC), nhằm xin thêm thức ăn vì các VĐV… bị đói. Trưởng đoàn Singapore Juliana Seow cho biết, đội bóng lưới của nước này phải mua thức ăn từ bên ngoài mới có thể đủ no và đủ dinh dưỡng. Còn đội U22 của nước này ăn không no vì lượng thức ăn khách sạn cung cấp quá ít. ""Dinh dưỡng đóng vai trò quan trọng trong khâu chuẩn bị, mà các vận động viên của chúng tôi lại bị đói. Chúng tối rất mong nhận được sự quan tâm của BTC để giải quyết những vấn đề đang đối mặt. Thực sự thông cảm với BTC nhưng điều này không thể tiếp diễn bởi các VĐV của Singapore sẽ bị ảnh hưởng xấu trong thi đấu”, bà Seow bày tỏ sự thất vọng. Mới đây, ban tổ chức SEA Games 30 phải xin lỗi về hàng loạt sự cố liên quan tới phương tiện đi lại và chỗ ở cho một số đội tuyển nước ngoài. Tuy nhiên, vẫn chưa thấy sự tiến triển trong công tác phục vụ các đoàn thể thao khu vực.",67,64,2,1,,,,1 bình luậ,2623904691025590,/story.php?story_fbid=2623904691025590&id=541126942636719,Lưu
