source,shared_from,date,text,reactions,likes,ahah,love,wow,sigh,grrr,comments,post_id,url,share
Suboi,,2019-11-26 19:35:46,"""Gaia là hiện thân của Trái đất, người mẹ của mọi sự sống, bà mang đến cho ta mọi thứ chúng ta cần cho hành trình cuộc sống. Nhưng liệu loài người đã đi qua một hành trình quá tự do, sung sướng mà quên rằng mình đang tàn phá chính đất mẹ của mình?"" - John Huy Tran Gaia - một vở múa mới của anh John Huy Trần và Urban Dance Group - UDG Vietnam  #dontmiss  👉👉 http://bit.ly/udggaia https://tuoitre.vn/ohn-huy-tran-noi-ho-noi-long-dat-me-voi-gaia-20191113092739871.htm - Admin -",90,75,,15,,,,Bình luậ,10162603883260182,/story.php?story_fbid=10162603883260182&id=228500895181,Lưu
Suboi,,2019-11-23 09:21:00,"❌Cảnh báo 1: Hôm nay ad không có hình chị đẹp cho các bạn ngắm, chỉ có tiếng cho các bạn nghe 😝 ❌Cảnh báo 2: Đây là một podcast tiếng Anh, mình có thể vừa nghe chị tâm sự, vừa luyện kỹ năng listening 😉 Đây là cuộc trò chuyện của Su trong chương trình Staight Outta Asia của #Deezer. Su chia sẻ về những câu chuyện gặp phải khi vừa bắt đầu đến với rap, một ngành công nghiệp trước giờ hầu như chỉ toàn nam, chia sẻ về những lần đi du lịch ở nước ngoài giúp Su học được nhiều điều và hiểu hơn về Việt Nam; hành trình qua những bài hát, những sáng tác giúp Su khám phá thêm về hiphop...    Link full: https://www.deezer.com/en/show/644712",146,114,,32,,,,2 bình luậ,10162588255485182,/story.php?story_fbid=10162588255485182&id=228500895181,Lưu
"Suboi,Việt Max",Việt Max,2019-11-22 18:02:15,"Thứ 6 sồi, giò cháo quẩy thoyyyy  #throwback - admin -Check bài Người Ta Hiểu nhưng đang vui thì đứt dây đàn 🤣🤣🤣 Đúng là Người ta hiểu, haу không hiểu ? Đời tui cũng vậу người ta hiểu haу không hiểu ? 🤔🙄😜 Dope song Suboi: https://youtu.be/pfFnTpEd-5I",100,86,8,5,1,,,5 bình luậ,10162584989190182,/story.php?story_fbid=10162584989190182&id=228500895181,Lưu
Suboi,,2019-11-21 19:23:57,"Ngoài nhiệm vụ ""stalk"" hình của chị đẹp để các bạn ngắm, thì lâu lâu ad sẽ share với các bạn những thông tin, sự kiện hay ho về hip-hop nè Ad vừa thấy được event ""Hip - hop: Vũ điệu những chiến binh trong thành phố"" khá là hấp dẫn do Viện Pháp tổ chức, đây là một chuỗi các sắp đặt tương tác xoay quanh nghệ thuật múa hip-hop, khi tham gia mình sẽ được trực tiếp trải nghiệm và trở thành một phần của tác phẩm. Bạn nào muốn đi thì xem thêm ở đây: https://www.facebook.com/events/544699849678801 ps: các bạn có thông tin, sự kiện nào hay trong cộng đồng nhớ share với ad nè",69,62,,7,,,,Bình luậ,10162580680955182,/story.php?story_fbid=10162580680955182&id=228500895181,Lưu
Suboi,,2019-11-20 21:02:16,"Các cháu uơiiii!! Đấy, cuộc đời bà 80 lồi bánh chưng zồi chỉ mong các cháu sống cóa yêu thương và quẩy gân như lày thôi các cháu ạạ 🤟🏽","1,5K","1,1K",320,113,1,1,,30 bình luậ,10162576346455182,/story.php?story_fbid=10162576346455182&id=228500895181,Lưu
"Suboi,Đà Lạt",Đà Lạt,2019-11-09 12:20:49,"Yêu Đà Lạt <3 Đến thăm Đà Lạt từ nhỏ đến nay, hôm nay nghe tin Đà Lạt mất đi 90.000 hecta rừng chỉ trong 8 năm 😥 Là một người Sài Gòn, có gia đình ở đây mình cũng chưa nghĩ đến dời đi đâu dù người ta cứ tưởng mình sống ở nước ngoài rồi ... Hình ảnh con đường chiều Sài Gòn mát mẻ mỗi khi bố mình chở đi ra Hồ con rùa năm 95 trong ký ức vẫn còn. Rồi càng lớn SG càng đông, người ta đến làm ăn xây dựng xong lại chê SG bon chen nóng nực ồn ào ... Thực chất SG nó chỉ là cái thành phố thôi mà, giờ đây công viên ít lại và công trường đầy ra, SG đúng trở nên ngột ngạt. Ra đường như một chiến trận, cái văn hoá chạy xe không nhường nhau, bóp kèn trong vô thức và chen lấn khi trời quá nóng và công việc làm ăn gấp rút ... Nhà mình ở đây thì mình chịu, mình chẳng biết đi đâu. Nghe nhiều người dời đến Đà Lạt vì cái thời tiết trong lành, cái vắng vẻ nhẹ nhàng của nó, nhưng mọi người ơi chỗ nào cũng vậy thôi, chủ yếu là do con người mình. Chỉ có thay đổi chút lối sống tiện nghi và giữ gìn môi trường thì hoạ may sống ở đâu cũng có thể tận hưởng được lâu. Gửi nhiều mến thương ... #ĐàLạt #dalatcity #vietnamMọi người yêu Đà Lạt và thích đi Đà Lạt tránh nóng, hít thở không khí TRONG LÀNH vì nghĩ rằng Đà Lạt là thành phố của rừng cây, của thiên nhiên xanh bát ngát.  Vâng, Đà Lạt đã-từng!  Và nay, những nhận định trong mát mỹ miều đó đã DẦN không còn nữa. Thành phố lạnh teo đang đổ những GIỌT MỒ HÔI vì NÓNG, vì NẶNG và Ô NHIỄM! Có những sự thật Ad vẫn phải cho các bạn biết, để trước hết, tất cả chúng ta phải có được NHẬN THỨC đúng về thực tại của thành phố bé nhỏ này, và sau đó, mỗi người suy ngẫm nhiều hơn về Đà Lạt và về chính quê hương của mình, các bạn nhé!  CÁC BẠN CẢM THẤY GÌ KHI NHÌN NHỮNG ẢNH NÀY? --------- Ảnh và thông tin sưu tầm. #Dalat #StoryOfDalat #DalatCity #Nature #PineTree #Forest #Environment #Hometown #Vietnam #Pollution #Polluted  #Fog #Foggy","2,6K","1,9K",9,199,8,440,6,73 bình luậ,10162560524035182,/story.php?story_fbid=10162560524035182&id=228500895181,Lưu
Suboi,,2019-11-15 19:54:25,"Trên con đường throwback những năm về trước, ad vô tình bắt gặp tấm hình này trên IG với caption là ""What I do? What I do?!?"" Đố các bạn Su đang làm gì 🤔🤔🤔",571,499,10,62,,,,16 bình luậ,10162551914475182,/story.php?story_fbid=10162551914475182&id=228500895181,Lưu
Suboi,,2019-11-13 09:03:59,"[English below]  Cảm ơn Radio Nova đã giới thiệu âm nhạc Suboi đến với khán giả Châu Âu trong chương trình ""Nova Around The World"". Đây là một trong những kênh radio lớn nhất tại Pháp chuyên giới thiệu những nghệ sĩ underground trên khắp thế giới 🙏🏻 🙏🏻🙏🏻 Nếu bạn có nghe radio này, nhớ tag Suboi nhe 😉  ---------- Thanks Radio Nova, one of the top radio station broadcast from France for introducing Suboi's music to European audiences in ""Nova around the world"" 🙏🏻 🙏🏻🙏🏻 Tag Suboi if you hear her on the channel!! - Admin - http://www.nova.fr/nova-autour-du-monde-suboi-rappeuse-vietnamienne",143,115,,28,,,,6 bình luậ,10162540407495182,/story.php?story_fbid=10162540407495182&id=228500895181,Lưu
Suboi,,2019-11-12 19:14:14,"#throwback2016 Một trong những đêm diễn comeback đầu tiên. Đêm đó anh em bà con cổ vũ đông lắm, trong đây là 95G, Game On Crew đang mosh pit ở đằng sau. Shout out to NVM - producer Đời. #myjourney",247,200,7,40,,,,10 bình luậ,10162537237160182,/story.php?story_fbid=10162537237160182&id=228500895181,Lưu
Suboi,,2019-11-10 20:06:58,Bật mí bí mật có thể nhiều người đã biết hoặc chưa biết 😜😜 Hôm nay “sinh nhật” 2 tuổi MV Người Ta Hiểu  Cùng ad “thổi nến” và chill tối chủ nhật cùng Người Ta Hiểu 🎂🎂 #throwback2017 https://youtu.be/pfFnTpEd-5I,509,403,2,104,,,,18 bình luậ,10162527436805182,/story.php?story_fbid=10162527436805182&id=228500895181,Lưu
Suboi,,2019-11-09 09:19:18,#throwback2015 Lần đầu tiên đi Nga diễn festival V-ROX. Suboi là nghệ sĩ hiphop duy nhất trong nguyên cái festival toàn indie rock band. #myjourney https://vimeo.com/207899470,319,260,4,53,2,,,10 bình luậ,10162520619315182,/story.php?story_fbid=10162520619315182&id=228500895181,Lưu
