source,shared_from,date,text,reactions,likes,ahah,love,wow,sigh,grrr,comments,post_id,url,share
An Coong,,2019-11-25 17:49:07,♥️ Trời . Giấu . Trời . Mang . Đi - AMEE ft. VIRUSS || Piano Cover by AN COONG 💁🏻‍♀️  💕Link nghe Full: https://youtu.be/E7-l6FdXXaQ Bài này nghe dễ thương ghê lun 🥰 cả nhà có thích bài này hem? 😋  Cả nhà vào Youtube để nghe full bài nhé 😘 #TroiGiauTroiMangDi #AMEEftVIRUSS #PianoCover #AnCoongPiano,An Coong và 736 người khác,507,2,223,5,,,50 bình luậ,2553443851437881,/story.php?story_fbid=2553443851437881&id=368478239934464,Lưu
An Coong,,2019-11-21 17:22:06,“Sương mờ che khuất đồi  Đêm nào em cũng ngồi...” 🎶 #DaLat #2019 🙆🏻‍♀️,"1,4K",1K,19,299,3,3,,58 bình luậ,2543493539099579,/story.php?story_fbid=2543493539099579&id=368478239934464,Lưu
An Coong,,2019-11-19 17:02:55,Vì yêu cứ đâm đầu 🤭,2K,"1,5K",30,376,4,1,,71 bình luậ,2538718846243715,/story.php?story_fbid=2538718846243715&id=368478239934464,Lưu
An Coong,,2019-11-19 12:49:32,Cảnh đẹp người cũng... hên xui 🤭🤭,"1,4K",1K,54,271,7,1,2,65 bình luậ,2538390856276514,/story.php?story_fbid=2538390856276514&id=368478239934464,Lưu
