source,shared_from,date,text,reactions,likes,ahah,love,wow,sigh,grrr,comments,post_id,url,share
Vicky Nhung,,2019-11-28 08:35:08,Dậy ăn sáng đi..gấu nấu xong ròi nè,220,160,18,42,,,,20 bình luậ,1365274336966753,/story.php?story_fbid=1365274336966753&id=137291566431709,Lưu
Vicky Nhung,,2019-11-27 19:29:23,"Ngừi iu Nhun đó, đẹp mỹ miều! Ko khen Nhun bùn, chê nhiều Nhun oánh 😤",465,360,13,92,,,,44 bình luậ,1364804323680421,/story.php?story_fbid=1364804323680421&id=137291566431709,Lưu
Vicky Nhung,,2019-11-27 15:23:30,Ngắm tình yêu của Nhun nè,Tran Quang Minh và 701 người khác,615,2,84,1,,,62 bình luậ,1210945725781854,/story.php?story_fbid=1210945725781854&id=137291566431709,Lưu
Vicky Nhung,,2019-11-27 15:05:25,Tình yêu ơi.. ❤️,"1,4K","1,3K",3,105,2,,,51 bình luậ,1364578337036353,/story.php?story_fbid=1364578337036353&id=137291566431709,Lưu
Vicky Nhung,,2019-11-26 21:04:09,Sau chuyến bay bão táp thì cũng đã gặp được tình yêu to bự ❤️. Ko cần nói thêm lời nào.. Venice bản chất đã đẹp đến ná thở trong lòng kẻ si tình đó ròi 😌.. Chắc nàng cũng thấu lòng ta nên sau bao ngày lụt lội thì đúng hôm nay nắng đẹp và nước vừa rút sáng nay ahihi 😝,571,444,6,119,1,,1,41 bình luậ,1363751207119066,/story.php?story_fbid=1363751207119066&id=137291566431709,Lưu
Vicky Nhung,,2019-11-26 11:33:25,Chú nai bạc ngơ ngác Đạp trên lá vàng khô 😌,669,518,25,124,2,,,60 bình luậ,1363355307158656,/story.php?story_fbid=1363355307158656&id=137291566431709,Lưu
Vicky Nhung,,2019-11-25 20:23:50,Lát nhớ ngủ sớm ko cảnh sát bắt nghe hông 😌,527,397,31,97,2,,,52 bình luậ,1362738810553639,/story.php?story_fbid=1362738810553639&id=137291566431709,Lưu
Vicky Nhung,,2019-11-25 08:45:55,Crush lạnh có Nhun ôm Nhun lạnh ai ôm 😔,"1,2K",1K,17,137,4,,,74 bình luậ,1362090003951853,/story.php?story_fbid=1362090003951853&id=137291566431709,Lưu
Vicky Nhung,,2019-11-24 09:00:13,Gặp gỡ xong tình yêu ròi. Hôm nay lại về với Vicker tiếp đây ahihi,"1,1K",998,10,105,,,,40 bình luậ,1361041020723418,/story.php?story_fbid=1361041020723418&id=137291566431709,Lưu
Vicky Nhung,,2019-11-23 19:52:16,Hum nay đừng ai chờ hình Nhun nữa.. Nhun trót phải lòng người khác ròi 🙄.. dành cả ngày để đi tìm tềnh iu..💙,1K,923,22,114,2,1,1,51 bình luậ,1360628777431309,/story.php?story_fbid=1360628777431309&id=137291566431709,Lưu
Vicky Nhung,,2019-11-22 19:25:22,Paris... đẹp đến nao lòng... 💙 Nhun có đẹp hông 😅,"1,4K","1,2K",17,183,2,,,67 bình luậ,1359552900872230,/story.php?story_fbid=1359552900872230&id=137291566431709,Lưu
Vicky Nhung,,2019-11-22 17:19:37,Hẹn hò gì mà chờ tới bạc cả đầu vẫn chưa thấy tới,665,504,53,107,1,,,48 bình luậ,1359445730882947,/story.php?story_fbid=1359445730882947&id=137291566431709,Lưu
Vicky Nhung,,2019-11-22 11:04:14,Nhiều người nói cái Fanpage này giống của Travel Vlogger hơn là của ca suỹ🤣🤣🤣! Thôi thì cũng ráng chịu khó thêm đâu đó dăm ba chục ngày nữa hen.  P/s: Ưng cái phòng dễ xợ hí hí,648,577,14,50,7,,,27 bình luậ,1359216630905857,/story.php?story_fbid=1359216630905857&id=137291566431709,Lưu
Vicky Nhung,,2019-11-19 11:04:20,"Một trong những gia tài đồ sộ và quý giá nhất của tui khi trở thành ca sĩ là đây.. ko phải giải thưởng, ko phải những tấm vé máy bay lưu diễn, ko phải catse khủng mà là những trái tim và tình yêu to bự mãi chung một nhịp.. năm nào cũng có một ngày xoay xoay như thế này cảm thấy tuổi 21 thật ý nghĩa 🤣🤣🤣! Mãi iu...","Vicky Nhung và 1,1K người khác",975,4,127,,,,,1356184041209116,/story.php?story_fbid=1356184041209116&id=137291566431709,
Vicky Nhung,,2019-11-19 07:51:06,Đêm qua mà sáng nay mới up ahihi,"Tran Quang Minh và 1,1K người khác",1K,8,109,,,,54 bình luậ,1356057467888440,/story.php?story_fbid=1356057467888440&id=137291566431709,Lưu
Vicky Nhung,,2019-11-18 08:27:31,Cho mọi người dự đoán sau tấm hình này chuyện gì sẽ xảy ra?,773,673,67,32,1,,,50 bình luậ,1355071847987002,/story.php?story_fbid=1355071847987002&id=137291566431709,Lưu
Vicky Nhung,,2019-11-16 13:14:38,Bạn bè truyền tai nhau cứ đi chơi với Nhun thế nào về cũng có hình đẹp để up. Còn Nhun thì đi chơi về thế nào cũng phải đi bẻ lại sống lưng 😂😂😂,"1,2K",1K,68,84,2,,,53 bình luậ,1353144291513091,/story.php?story_fbid=1353144291513091&id=137291566431709,Lưu
Vicky Nhung,,2019-11-15 10:54:33,Đây là một tấm hình theo trường phái phân tán thị giác! Vì nó có quá nhiều biểu cảm và điểm nhìn thu hút mắt. Nói thật xem trong tấm hình này bạn chú ý điều gì nhất?,1K,920,55,49,,,,40 bình luậ,1351989458295241,/story.php?story_fbid=1351989458295241&id=137291566431709,Lưu
Vicky Nhung,,2019-11-13 19:57:38,Đi tìm tình iu,"1,3K","1,2K",10,156,,,,65 bình luậ,1350387785122075,/story.php?story_fbid=1350387785122075&id=137291566431709,Lưu
Vicky Nhung,,2019-11-12 20:12:47,Cảnh buồn người cứ vui như đúng rồi 😌,Lâm Đình Khoa và 1K người khác,903,31,128,2,,,54 bình luậ,1349415451885975,/story.php?story_fbid=1349415451885975&id=137291566431709,Lưu
Vicky Nhung,,2019-11-12 15:50:24,Lost in FengHuang,"1,2K",1K,2,138,7,,,57 bình luậ,1349236225237231,/story.php?story_fbid=1349236225237231&id=137291566431709,Lưu
Vicky Nhung,,2019-11-10 19:41:39,Hạ cánh ròi nè! Mà ở đâu còn lâu mới nói 🙈,"1,1K",1K,19,131,1,,,64 bình luậ,1347402735420580,/story.php?story_fbid=1347402735420580&id=137291566431709,Lưu
Vicky Nhung,,2019-11-09 16:30:53,"Mai lại xa triều đình vài ngày ròi! Valy thì chưa soạn, long thể thì bất an, dự là nhớ hội ái phi đến hao mòn... ai giúp bổn cung chuẩn bị xiêm y đây 😭😭😭","1,1K",967,37,97,1,1,,50 bình luậ,1346254572202063,/story.php?story_fbid=1346254572202063&id=137291566431709,Lưu
Vicky Nhung,,2019-11-07 21:28:20,Uhm 🙈,1K,896,11,104,5,,,57 bình luậ,1344496859044501,/story.php?story_fbid=1344496859044501&id=137291566431709,Lưu
Vicky Nhung,,2019-11-06 20:52:15,Bài này chưa hát bao giờ nè! Mà khách hàng cứ nhất quyết hát bài nay nên thui gồng 😂,560,434,9,116,1,,,48 bình luậ,1343523759141811,/story.php?story_fbid=1343523759141811&id=137291566431709,Lưu
Vicky Nhung,,2019-11-05 20:00:00,"Test IQ vô cực và giác quan thứ 6 thần sầu nào! Đây là demo lời một bài hát mang không khí ăn uống và Tết mà Vicky đang làm. Hãy thử viết một từ bất kì bật ra trong đầu bạn. Ko cần biết có phù hợp nội dung hay có đúng hay ko! Cứ viết 1 từ thôi ""Ví dụ: ăn"".  😆 Comment nào nói đúng từ có trong đoạn lyrics này Vicky sẽ Like nhé. Ai đúng được 5 từ sẽ có quà nà. Cho mọi người share về Facebook kiếm đồng minh luôn :)) kakaka",156,116,6,33,1,,,39 bình luậ,1342465539247633,/story.php?story_fbid=1342465539247633&id=137291566431709,Lưu
Vicky Nhung,,2019-11-05 08:30:20,Quay đi quay lại thấy Tết ập vào mặt tới nơi ròi! Ai muốn Vicky ra một sản phẩm Tết cho vui cửa vui nhà nào 👋🏻! Chủ đề gì cho hấp dẫn ta 🙄,"1,1K",974,6,131,,,,68 bình luậ,1341406166020237,/story.php?story_fbid=1341406166020237&id=137291566431709,Lưu
Vicky Nhung,,2019-11-04 19:46:27,Bạn học được gì qua bài học này? Bạn có 1 người bạn như vậy ko? Tag vào cho đỡ tủi thân,299,165,86,48,,,,47 bình luậ,1341562676004586,/story.php?story_fbid=1341562676004586&id=137291566431709,Lưu
