source,shared_from,date,text,reactions,likes,ahah,love,wow,sigh,grrr,comments,post_id,url,share
Hồ Quang Hiếu,,2019-11-27 21:07:53,😛😛 http://m.afamily.vn/webdrama-cua-ho-quang-hieu-gay-sot-khi-lien-tuc-lot-top-trending-youtube-chi-sau-thoi-gian-ngan-ra-mat-20191125133326132.chn,"Hồ Quang Hiếu và 4,9K người khác","4,2K",124,497,12,1,,341 bình luậ,2905376352853080,/story.php?story_fbid=2905376352853080&id=409834799073927,Lưu
Hồ Quang Hiếu,,2019-11-27 12:20:46,Để có những cảnh quay hành động cực khổ như này.Suốt ngày mình phải ăn cả chục lần để có năng lượng quay phim. nên mọi người xem phim xong nhớ chia sẻ để m có động lực ăn nhiều hơn để làm những tập tiếp theo nhé^^,"Hồ Quang Hiếu và 2,6K người khác","2,3K",101,249,3,1,1,165 bình luậ,2904490276275021,/story.php?story_fbid=2904490276275021&id=409834799073927,Lưu
Hồ Quang Hiếu,,2019-11-26 19:24:08,Một bài rap cực ngầu và đầy màu sắc lần đầu tiên mình thể hiện chung cùng rapper Wowy  trong ca khúc “Đời là dòng sông” Cùng lắng nghe ca khúc mới trong phim “Hiếu bến tàu”để tiếp thêm năng lượng sau ngày dài làm việc bạn nhé! #wowy #hoquanghieu #doiladongsong #hieubentau https://youtu.be/7sTyoBwRvdE,"Hồ Quang Hiếu và 3,4K người khác",3K,63,348,3,2,,242 bình luậ,2902808419776540,/story.php?story_fbid=2902808419776540&id=409834799073927,Lưu
Hồ Quang Hiếu,,2019-11-26 11:58:35,"Mỗi lần chụp hình đăng FB mắc mệt thật,Phải suy nghĩ chụp sao cho đẹp chụp sao cho nhiều người Like, hum nay chụp đại tấm xấu xấu cho mọi người chê mới được!",Hồ Quang Hiếu và 63K người khác,57K,"2,9K","2,7K",48,10,5,928 bình luậ,2902173669840015,/story.php?story_fbid=2902173669840015&id=409834799073927,Lưu
Hồ Quang Hiếu,,2019-11-25 14:38:39,Nhiều bạn cứ suốt ngày lên fb than vãn ko biết làm sao để cua được trai đẹp. Mình chỉ cho nhé. Cua được a trên hình thì coi như thành công.😛,27K,24K,"2,2K","1,4K",22,8,3,647 bình luậ,2900008296723219,/story.php?story_fbid=2900008296723219&id=409834799073927,Lưu
Hồ Quang Hiếu,,2019-11-25 13:19:21,,"6,4K","5,7K",98,593,6,1,,209 bình luậ,2899905360066846,/hieuboyofficial/photos/a.411537712236969/2899905360066846,Lưu
Hồ Quang Hiếu,,2019-11-24 19:10:53,"Con gái giờ nguy hiểm thiệt,mới hỏi thăm cái bị đâm 1 nhát liền😥 https://youtu.be/PvuEyUiOlC4","4,1K","3,3K",378,379,2,6,1,326 bình luậ,2898029333587782,/story.php?story_fbid=2898029333587782&id=409834799073927,Lưu
Hồ Quang Hiếu,,2019-11-24 09:38:29,Chuẩn bị dậy sớm ra cảng cá bốc vác cùng a e đây 🥰🥰🥰 Có ai chưa xem tập 3 “Hiếu bến tàu “không nhỉ? 😛,25K,23K,481,"1,7K",15,6,2,843 bình luậ,2897135530343829,/story.php?story_fbid=2897135530343829&id=409834799073927,Lưu
Hồ Quang Hiếu,,2019-11-23 19:26:01,Tập 3 ra rồi..share mạnh tay nào cả nhà ơi😛,80K,75K,"1,3K","3,6K",48,26,1,906 bình luậ,2895643877159661,/story.php?story_fbid=2895643877159661&id=409834799073927,Lưu
"Hồ Quang Hiếu,Báo Thanh Niên,Báo Thanh Niên","Báo Thanh Niên,Báo Thanh Niên",2019-11-23 14:31:43,"https://www.facebook.com/thanhnien/videos/470622326893951?vh=e&d=n&sfns=mo[HOT TREND] Hồ Quang Hiếu bật mí hậu trường phim ca nhạc ""Hiếu Bến Tàu"" Sau Thiếu niên giang hồ, Hồ Quang Hiếu trở lại phim ca nhạc bằng seri Hiếu Bến Tàu với tạo hình bụi bặm và những pha hành động kịch tính. Cùng nghe Hồ Quang Hiếu, hot girl Emmy Nguyễn và diễn viên Quỳnh Lý bật mí những câu chuyện hậu trường thú vị về tập phim đang nằm trong top trending của YouTube Việt Nam này nhé! #HồQuangHiếu #QuỳnhLý #EmmyNguyễn #phimcanhạc #casĩViệt #Conbướmxuân #HiếuBếnTàu #BáoThanhNiên #iHayTV #hot trend",1K,912,18,139,,,,54 bình luậ,2895209063869809,/story.php?story_fbid=2895209063869809&id=409834799073927,Lưu
