source,shared_from,date,text,reactions,likes,ahah,love,wow,sigh,grrr,comments,post_id,url,share
Diễn Viên Hài Thu Trang,,2019-11-12 13:20:00,Tối nay có gì nào???? 20h00 đừng quên đón xem DUYÊN TIỀN ĐỊNH tập 2 nha cả nhà ơi! Anh Bắp đang nhìn đồng hồ là vì nôn nao được gặp lại cả nhà quá đó nha <3,"2,2K","1,9K",23,215,,,,114 bình luậ,2825663994113077,/story.php?story_fbid=2825663994113077&id=743558085657022,Lưu
Diễn Viên Hài Thu Trang,,2019-11-11 19:00:01,-- Tập 2 DUYÊN TIỀN ĐỊNH sẽ được phát sóng độc quyền trên Fanpage Diễn viên hài Thu Trang ngày 12/11/2019. Đừng bỏ lỡ nhé <3,718,629,10,78,1,,,27 bình luậ,2801415206537956,/story.php?story_fbid=2801415206537956&id=743558085657022,Lưu
Diễn Viên Hài Thu Trang,,2019-11-11 17:36:18,"Con nhỏ này nhây lắm, mọi người xem chưa?","Diễn Viên Hài Thu Trang và 5,9K người khác","4,7K",999,158,6,2,,128 bình luậ,2823711197641690,/story.php?story_fbid=2823711197641690&id=743558085657022,Lưu
Diễn Viên Hài Thu Trang,,2019-11-11 11:19:54,Con bé không hề say xỉn nha mọi người. Con bé chỉ hơi phấn khích chút thôi.🥰,Diễn Viên Hài Thu Trang và 46K người khác,38K,"6,4K","1,8K",17,8,,306 bình luậ,2823194657693344,/story.php?story_fbid=2823194657693344&id=743558085657022,Lưu
Diễn Viên Hài Thu Trang,,2019-11-11 09:13:03,Mọi người đã xem tập 2 chưa nè? Hãy xem và lan toả nào.🥰,"Diễn Viên Hài Thu Trang và 1,8K người khác","1,6K",52,103,,,,49 bình luậ,2823006811045462,/story.php?story_fbid=2823006811045462&id=743558085657022,Lưu
Diễn Viên Hài Thu Trang,,2019-11-10 20:00:00,"🗣 Mọi người ơiiii đã ra lò Tập 2 HOT BOY VĂN PHÒNG của series 1001 Chuyện Công Sở rồi nhé <3 Tui nói chớ, mấy chị em lo kiếm người yêu hết đi chứ để đến mức ""vã"" như 2 cô nàng trong này là bó tay à nha 🤣 Đừng giữ giá gì tầm này nữa kkkk #ThuTrangEntertainment #1001Chuyệncôngsở #DienvienhaiThuTrang #ĐạodiễnTrungLùn #BiênkịchBùiQuốcBảo","Diễn Viên Hài Thu Trang và 2,1K người khác","1,7K",258,119,5,1,11,39 bình luậ,2810018552344288,/story.php?story_fbid=2810018552344288&id=743558085657022,Lưu
Diễn Viên Hài Thu Trang,,2019-11-10 15:44:28,Tối nay 20h nha cả nhà ơi ☺️❤️,"Diễn Viên Hài Thu Trang và 1,3K người khác","1,2K",14,92,1,,,77 bình luậ,2821274137885396,/story.php?story_fbid=2821274137885396&id=743558085657022,Lưu
Diễn Viên Hài Thu Trang,,2019-11-10 10:04:32,"Chồng tui rất có tâm trong việc dìm vợ... ok , i’m fine nha😏",16K,14K,"1,3K",719,6,3,1,144 bình luậ,2820781104601366,/story.php?story_fbid=2820781104601366&id=743558085657022,Lưu
Diễn Viên Hài Thu Trang,,2019-11-09 21:29:54,Đôi trẻ tươi ghê.😋,Nguyễn Quốc Trường và 325K người khác,299K,"2,3K",24K,54,7,5,443 bình luậ,2819542854725191,/story.php?story_fbid=2819542854725191&id=743558085657022,Lưu
Diễn Viên Hài Thu Trang,,2019-11-09 19:00:00,💃 Dẫy lên vì tập 2 của 1001 Chuyện công sở sắp ra lò rồi mọi người ơi!!! Trong văn phòng mà chỉ toàn NỮ thì khi một HOTBOY xuất hiện thì sẽ ra sao nhỉ? 😍 -- Đón xem tập 2 HOTBOY VĂN PHÒNG phát sóng lúc 20h00 ngày 10/11/2019 trên fanpage Diễn viên hài Thu Trang các bạn nha. <3 #ThuTrangEntertainment #1001Chuyệncôngsở #DienvienhaiThuTrang #ĐạodiễnTrungLùn #BiênkịchBùiQuốcBảo,Nguyễn Nhật Trung và 950 người khác,824,41,85,1,,,31 bình luậ,2809902915689185,/story.php?story_fbid=2809902915689185&id=743558085657022,Lưu
Diễn Viên Hài Thu Trang,,2019-11-09 17:54:29,Chúc hai em trăm năm hạnh phúc. ❤️,Diễn Viên Hài Thu Trang và 70K người khác,60K,261,"9,9K",19,1,,370 bình luậ,2819155414763935,/story.php?story_fbid=2819155414763935&id=743558085657022,Lưu
Diễn Viên Hài Thu Trang,,2019-11-09 15:21:02,Chuẩn bị trẩy hội nào.💋,57K,54K,538,"3,1K",8,3,1,144 bình luậ,2818933964786080,/story.php?story_fbid=2818933964786080&id=743558085657022,Lưu
Diễn Viên Hài Thu Trang,,2019-11-09 11:07:28,"Máy bay chưa kịp bay là ổng đã ngủ, quá nãn...😬",Nguyễn Nhật Trung và 54K người khác,48K,"5,1K","1,1K",19,9,,174 bình luậ,2818578321488311,/story.php?story_fbid=2818578321488311&id=743558085657022,Lưu
Diễn Viên Hài Thu Trang,,2019-11-09 08:26:33,Sáng nay đi đâu cũng gặp nghệ sĩ... không biết có chuyện gì xảy ra.🥰,Diễn Viên Hài Thu Trang và 27K người khác,24K,683,"1,9K",3,,,207 bình luậ,2818306244848852,/story.php?story_fbid=2818306244848852&id=743558085657022,Lưu
