source,shared_from,date,text,reactions,likes,ahah,love,wow,sigh,grrr,comments,post_id,url,share
Vu Pham Diem My,,2019-11-26 15:01:26,"Mùa cuối năm, mùa lễ hội, mùa của những tin yêu và gặt hái trái ngọt 🍬 🍬 🍬 💝 💝 💝  #DiễmMy9X","1,9K","1,7K",5,233,13,1,1,88 bình luậ,10156872672841305,/story.php?story_fbid=10156872672841305&id=142315561304,Lưu
Vu Pham Diem My,,2019-11-22 11:07:53,Ngày thứ 6 đen tối tới rồi!! Mọi người đã chuẩn bị túi tiền rủng rỉnh để chớp lấy cơ hội mua những món đồ ưng ý từ #adidasvn với giá cực yêu cùng My chưa nào? Khuyến mãi lên đên 50% tất cả các mặt hàng luôn đó nha. Rủ ngay hội bạn thân để săn sale từ 22/11 đến 01/12 tại các store có tên sau nhé mọi người ơiii https://adidasstorelist.com/sportperformance/black-friday-end-of-season-sale,326,302,,21,2,1,,25 bình luậ,10156861015421305,/story.php?story_fbid=10156861015421305&id=142315561304,Lưu
Vu Pham Diem My,,2019-11-20 10:52:42,"Mẹ có hay ở nơi này- con đang nhớ mẹ rất nhiều? Hôm nay, trên đường đến phim trường, con thấy từng tốp học sinh nô đùa bên thầy bên cô, tự nhiên đôi mắt trở nên cay xè. Con nhớ ngày xưa mẹ cũng từng đèo con trên chiếc xe đạp cầm hoa đến tặng cô nhân ngày nhà giáo Việt Nam. Với con, người thầy đầu tiên không ai khác là Mẹ… Mẹ đã nắm tay con rèn từng con chữ; lo cho con từng bữa cơm, giấc ngủ; dạy cho con những đạo hiếu làm người. Mẹ là người thầy đầu tiên của cuộc đời con, sẵn sàng là điểm tựa cho con mỗi khi khó khăn trong cuộc sống…  Cũng nhân những dòng cảm xúc này, My cầu chúc cho toàn thể thầy cô một điều duy nhất đó là sức khoẻ- để giúp đỡ bao thế hệ mai sau đến được bến bờ tri thức.  Kính chúc quý Thầy Cô có ngày 20/11 thật nhiều niềm vui và hạnh phúc.","5,9K","5,3K",4,501,2,48,,97 bình luậ,10156855343956305,/story.php?story_fbid=10156855343956305&id=142315561304,Lưu
Vu Pham Diem My,,2019-11-18 18:06:32,Chị đẹp thì chị có quyền............................................ ........................................................................................................................................................................................................................................................................POST HÌNH 😂😂😂 #DiễmMy9X,"1,7K","1,5K",15,170,5,1,1,49 bình luậ,10156850138576305,/story.php?story_fbid=10156850138576305&id=142315561304,Lưu
