source,shared_from,date,text,reactions,likes,ahah,love,wow,sigh,grrr,comments,post_id,url,share
Nhạc DJ,,2019-11-28 10:00:20,Ông trùm đến trêu ngươi đàn em chị đại và cái kết  Phim: Những đứa con biệt động Sài Gòn,,,,,,,,Bình luậ,2453379908278753,/story.php?story_fbid=2453379908278753&id=1579189182364501,Lưu
Nhạc DJ,,2019-11-27 22:22:52,Nhìn mặt cô nhân tình là đã thấy chán rồi :v Phim: Anh hùng Nguyễn Trung Trực,16,15,,1,,,,1 bình luậ,2452852551664822,/story.php?story_fbid=2452852551664822&id=1579189182364501,Lưu
Nhạc DJ,,2019-11-27 21:30:00,Đại ca ngáo đá may có đàn em đến cứu Xích lang 2 : https://youtu.be/YDY1MoPaTzU,27,26,1,,,,,3 bình luậ,2452950961654981,/story.php?story_fbid=2452950961654981&id=1579189182364501,Lưu
Nhạc DJ,,2019-11-27 20:00:01,"Thế là chị đai ""Đi"" thật rồi ông giáo à ... Phim : Những đứa con biệt động Sài Gòn","3,7K","3,6K",57,44,15,4,4,48 bình luậ,2452686221681455,/story.php?story_fbid=2452686221681455&id=1579189182364501,Lưu
Nhạc DJ,,2019-11-27 17:00:00,Siêu đặc nhiệm cứu vợ - Đu luôn cả trực thăng Phim : Đặc nhiệm siêu đẳng phần 2,75,73,,2,,,,2 bình luậ,2452890444994366,/story.php?story_fbid=2452890444994366&id=1579189182364501,Lưu
Nhạc DJ,,2019-11-27 14:04:19,Đỉnh cao của lãi bốc họ :v  Phim: Những đứa con biệt động Sài Gòn,246,240,3,3,,,,1 bình luậ,2452850881664989,/story.php?story_fbid=2452850881664989&id=1579189182364501,Lưu
Nhạc DJ,,2019-11-27 12:00:01,"Ông trùm thuê sát thủ ""xử""chị đại Phim : Những đứa con biệt động Sài Gòn","8,2K",8K,88,76,10,4,5,67 bình luậ,2452682508348493,/story.php?story_fbid=2452682508348493&id=1579189182364501,Lưu
Nhạc DJ,,2019-11-27 08:00:00,Đại ca khờ tán đổ em nhân viên gội đầu xinh đẹp 😝😝😝 Phim : Những đứa con biệt động Sài Gòn,"2,5K","2,4K",67,26,6,3,2,7 bình luậ,2451866841763393,/story.php?story_fbid=2451866841763393&id=1579189182364501,Lưu
Nhạc DJ,,2019-11-26 20:00:01,Bị ông trùm chơi đểu - Chị đại cho đàn em quyết trả thù😠,"4,6K","4,5K",58,64,5,4,5,21 bình luậ,2451913951758682,/story.php?story_fbid=2451913951758682&id=1579189182364501,Lưu
Nhạc DJ,,2019-11-26 17:00:00,"""Mười mấy năm tù như một giấc ngủ trưa"" - Đại ca share 😂 Phim : những đứa con biệt động Sài Gòn","2,6K","2,6K",42,34,7,3,3,15 bình luậ,2450873748529369,/story.php?story_fbid=2450873748529369&id=1579189182364501,Lưu
Nhạc DJ,,2019-11-26 12:00:00,Vừa ra tù đã đi gây sự may có đại ca đến cứu😎😎😎 Xích lang tập 2 : https://youtu.be/YDY1MoPaTzU,4K,"3,8K",99,41,6,3,3,70 bình luậ,2451783288438415,/story.php?story_fbid=2451783288438415&id=1579189182364501,Lưu
Nhạc DJ,,2019-11-26 08:00:01,Siêu nội gián lộ diện :D Phim : Đặc nhiệm siêu đẳng phần 2,617,611,3,3,,,,6 bình luậ,2450962501853827,/story.php?story_fbid=2450962501853827&id=1579189182364501,Lưu
Nhạc DJ,,2019-11-25 21:30:00,Đại ca tập hợp đàn em quyết đấu đội đặc nhiệm :D Phim : Đặc nhiệm siêu đẳng phần 2,1K,1K,6,10,,,1,4 bình luậ,2450871655196245,/story.php?story_fbid=2450871655196245&id=1579189182364501,Lưu
