source,shared_from,date,text,reactions,likes,ahah,love,wow,sigh,grrr,comments,post_id,url,share
Kyo York,,2019-11-23 19:06:18,Tối nay đi cùng Kyo và Bé Ju Uyên Nhi vòng quanh thế giới với một tiết mục đặc biệt Việt/Anh/Hàn ở Tuần Lễ Thời Trang Asian Kids Fashion Week 2020,Kyo York và 890 người khác,811,,80,,,,55 bình luậ,1432843386881519,/story.php?story_fbid=1432843386881519&id=117366431762561,Lưu
Kyo York,,2019-11-22 16:21:20,100 giây rực rỡ đón xem chương trình  Tối nay 21h trên kênh VTV3 Xem Kyo York biểu diễn ca khúc gì thế nhỉ ?,Kyo York và 500 người khác,441,1,59,,,,47 bình luậ,1431745460324645,/story.php?story_fbid=1431745460324645&id=117366431762561,Lưu
Kyo York,,2019-11-21 16:26:29,Đại Sứ Áo Dài 2019  diễn ra tại Nhà Văn Hoá Thanh Niên tối nay  8:00pm 21/11/2019  ÁO DÀI CÒN HỒN VIỆT CÒN  Áo dài là trang phục truyền thống của dân tộc Việt!,"Kyo York và 1,4K người khác","1,2K",4,198,6,,,97 bình luậ,1430781767087681,/story.php?story_fbid=1430781767087681&id=117366431762561,Lưu
Kyo York,,2019-11-20 15:35:57,"Ngày đầu đến Việt Nam là làm thầy  giờ thỉnh thoảng Kyo mới có thời gian giảng dạy nhưng luôn tôn trọng nghề này sẵn sàng chia sẻ kiến thức, ngôn ngữ khi có thể trong khả năng của mình. Nhìn lại bộ ảnh NAG #Kiengcan chụp cách đây 7 năm trước thấy dễ thương trang phục áo dài của anh #Sĩ Hoàng. Kính chúc quý thầy cô luôn nhiều sức khoẻ, mẫu mực và xứng đáng chữ thầy kính trọng trong sự nghiệp giáo dục.","Kyo York và 2,2K người khác",2K,2,269,15,,,99 bình luậ,1429779290521262,/story.php?story_fbid=1429779290521262&id=117366431762561,Lưu
Kyo York,,2019-11-19 15:39:46,Mời tách chè (Trà) thơm! thưởng thức: https://youtu.be/pYnmZCJ9-5M,"Kyo York và 1,1K người khác",1K,,107,1,,,54 bình luậ,1428777487288109,/story.php?story_fbid=1428777487288109&id=117366431762561,Lưu
Kyo York,,2019-11-18 20:41:36,Các bạn nhìn thấy Kyo đứng đâu không ?  Đại sứ Áo dài Việt Nam 2019 đấy <3,"Kyo York và 1,9K người khác","1,6K",55,149,17,,,173 bình luậ,1428016337364224,/story.php?story_fbid=1428016337364224&id=117366431762561,Lưu
Kyo York,,2019-11-18 03:55:03,"❌ĐỪNG VÔ CẢM VỚI CUỘC SỐNG  CHÚNG TA HÃY SHARE VÀ NGUYỆN CẦU CHO HONGKONG!  Lời kêu gọi từ Hồng Kông: ""Với công nghệ trí tuệ nhân tạo (A.I) của Trung Quốc, hàng triệu người Hồng Kông sẽ bị truy lùng, bị bắt giữ, bị hãm hiếp, bị lấy nội tạng.... Chúng tôi sẽ biến mất không một dấu vết một cách có hệ thống sau đó.  Người Hồng Kông chúng tôi đang ở tiền tuyến của trận chiến giữa Thế giới Tự do và chế độ chuyên chế Cộng sản TQ. Tuy nhiên, phần còn lại của thế giới chỉ ngồi thư giãn, xem và không có động thái can thiệp. Khi bạn thấy thông báo này, xin vui lòng thể hiện hành động ít nhất là chia sẻ. Đừng để những người trẻ tuổi của chúng tôi chiến đấu một mình. Chúng tôi đang gặp nguy hiểm càng lúc càng nghiêm trọng và đã đến lúc Liên Hợp Quốc và thế giới cần can thiệp ngay lập tức!” #PrayforHongKong #HongKong","5,3K","3,7K",38,540,11,958,34,438 bình luậ,1427375207428337,/story.php?story_fbid=1427375207428337&id=117366431762561,Lưu
Kyo York,,2019-11-15 22:11:30,"Hút thuốc có hại cho sức khoẻ của bạn  và  gây khó chịu cho thằng con của bạn khi nó chưa dứt sữa mẹ!  PS: giờ thì đã biết ""Say như điếu đổ"" là thế nào ??? Link MV #Muathuchoem https://youtu.be/pYnmZCJ9-5M","Kyo York và 2,7K người khác","2,1K",502,117,29,2,1,140 bình luậ,1425074874325037,/story.php?story_fbid=1425074874325037&id=117366431762561,Lưu
Kyo York,,2019-11-14 18:54:57,Thật ra bản dịch này đã được nữ ca sĩ người Mỹ Dalena từng hát cách đây nhiều năm lay động lòng người. Nay Kyo muốn hát lại kết hợp quảng bá mùa thu đẹp của Hà Nội đến bạn bè khắp nơi. Link full MV tại: https://youtu.be/pYnmZCJ9-5M,"Kyo York và 3,4K người khác",3K,37,418,15,,,242 bình luậ,1423959774436547,/story.php?story_fbid=1423959774436547&id=117366431762561,Lưu
Kyo York,,2019-11-11 23:04:04,"VIET/ENGLISH Cũng là câu chuyện của mẹ tôi gần đây nhất, hôm bà thèm phở quay lại quán ăn của khu người Việt, ở khu chợ người ta mở tôi hát MÙA THU CHO EM ( link https://youtu.be/pYnmZCJ9-5M) - bản song ngữ tôi thực hiện mới nhất ở Hà Nội, mẹ tôi vui mừng reo lên kiểu con tôi đấy! Con tôi đấy! Ai cũng nhìn mẹ cười. Hôm tôi về thăm, mẹ kể rồi hỏi ""Ở Việt Nam con nổi tiếng bằng ca sĩ nào ở Mỹ?"" Tôi cười chỉ nói rằng: ""Mẹ hãy tự hào về con trai mẹ không phải chỉ vì con nổi tiếng, mà con đã làm được những điều mà người Việt khắp nơi trên thế giới yêu mến và ủng hộ con."" ---- Tôi có một thói quen, khi có thời gian rãnh là đọc hết tất cả những comment của những người yêu mến trên facebook và cả kênh youtueb của mình.  Rất nhiều nhiều lời chia sẻ mà khiến lòng tôi lặng đi hay rơi cả nước mắt, bên cạnh đó có cả những cmt góp ý rất chân thành với mong muốn tôi ngày càng thành công hơn. Dẫu không thể chia sẻ hết nhưng tôi vẫn luôn âm thầm cảm ơn những sự ủng hộ ấy dành cho mình. Tôi bất ngờ nhất là trong suốt đầu năm qua tôi luôn có nhiều show diễn ở các Châu lục nhiều hơn cả ở VN, khi những sản phẩm nghệ thuật và hành trình âm nhạc của tôi bất đầu lan toả đến cộng đồng người Việt ở nước ngoài, và một bộ phận người nước ngoài ở Việt Nam, quốc tế. Khi lắng nghe những ca khúc Việt Song ngữ họ đã mời tối đến chia sẻ những tác phẩm đẹp của Việt Nam bằng tiếng Anh đó là điều tự hào, nhiều kênh truyền hình quốc tế cũng phỏng vấn khi họ kết nối được với tôi về ngôn ngữ. Đặc biết một phần lớn giới trẻ Việt Kiều hầu như họ sinh ra và tiếng Anh là ngôn ngữ chính, nên phụ huynh thường hay mở những ca khúc song ngữ của tôi cho họ nghe, thì họ tỏ ra vô cùng thích thú khi hiểu nghĩa của âm nhạc Việt.  Tỉ như tôi vô cùng xúc động khi một chị chủ team nail luôn mở những ca khúc song ngữ của tôi cho khách Việt và Mỹ nghe họ vô cùng hứng thú và yêu cầu nhiều hơn. Tôi thấy hành trình âm nhạc của tôi lan toả kiểu cộng đồng dần dần chúng quảng bá và kết nối một cách chân thành nhất, không truyền thông rầm rộ hay một kế hoạch Pr nào hoành tráng mà chính sự yêu thương và tình cảm của khán giả đã khiến những tác phẩm Không Còn Mùa Thu, Đêm Đông, Sầu Đông, Sài Gòn Đẹp Lắm, Hạ Trắng, Một Cõi Đi Về, Thương Ca tiếng Việt,... lan toả rộng lớn trong lòng người Việt ở khắp mọi nơi vượt qua rào cản ngôn ngữ. ____ I have this habit when I have free time I usually go in and read all the comments of fans on facebook and youtube. Much of what I read makes me feel so good and I also sometimes tear up. Additionally I read a lot of honest feedback that I take seriously to become more successful. Although I can’t always reply to everyone because Im only 1 person, I want you all to know that I appreciate your support so much. Im surprised to know that this year Ive had so many opportunities to perform all over the world. Its such a pleasure to know that my musical journey in Vietnam has caught the eye of Vietnamese overseas and likewise foreigners living and working in Vietnam. Because of my bilingual song covers, I’ve been invited to speak on international TV about these covers and about language in general. Most recently, I was so proud when the owner of a nail salon in the US told me she regularly puts my music videos on the TV for her guests to watch and everyone loves them and requests them when they come to get their nails done. Im so blessed to see my musical journey have such an honest and real impact on all of my listeners, no big publicity stunts, no major PR plan, no frills, just real love, real views and real support! Songs like Không Còn Mùa Thu, Đêm Đông, Sầu Đông, Sài Gòn Đẹp Lắm, Hạ Trắng, Một Cõi Đi Về, Thương Ca tiếng Việt... have made a real emotional impact and connection with my viewers all over the world and have helped break down language and cultural barriers.  And my most recent story is when my Mom went back to eat her second bowl of Phở at the restaurant I took her last time. In this area, a few people where listening to Autumns Love, (Mùa Thu Cho Em https://youtu.be/pYnmZCJ9-5M ) My Mom was so excited and said “THAT’S MY SON. So many people looked at her and smiled. My most recent trip home, My Mom asked “who are you comparably famous to in the US?” I just smiled and said “Just be proud that I’ve done things that have made Vietnamese people really respect and love me all over the world.”","Kyo York và 4,8K người khác",4K,12,762,7,,,394 bình luậ,1421322641366927,/story.php?story_fbid=1421322641366927&id=117366431762561,Lưu
