source,shared_from,date,text,reactions,likes,ahah,love,wow,sigh,grrr,comments,post_id,url,share
MASEW,,2019-11-27 16:22:11,Lần đầu tiên làm chuyện ấy . Cuối năm hay đầu năm ???  Masew x Long nón lá  #Hanhlangcu #Hanho #longnonla #Masew,"5,6K","4,7K",299,585,20,3,,205 bình luậ,817044778729458,/story.php?story_fbid=817044778729458&id=412950512472222,Lưu
MASEW,,2019-11-26 15:46:20,Làm sao quên hành lang ngày nắng và gió ... Hành Lang Cũ  #comingsoonnnn,MASEW và 40K người khác,34K,1K,"5,3K",183,168,1,876 bình luậ,816197562147513,/story.php?story_fbid=816197562147513&id=412950512472222,Lưu
MASEW,,2019-11-24 20:39:40,Chúng ta hãy vui vẻ .,"9,6K","8,5K",296,807,8,8,,139 bình luậ,814666048967331,/story.php?story_fbid=814666048967331&id=412950512472222,Lưu
MASEW,,2019-11-22 21:54:04,Ủa,11K,"5,5K","4,8K",42,67,595,7,346 bình luậ,812968332470436,/story.php?story_fbid=812968332470436&id=412950512472222,Lưu
MASEW,,2019-11-19 21:04:10,Hành lang cũ ( Hạ Nhớ )  Bạn thích sự kết hợp này ?????  Cùng chờ nhé  #longnonla #masew #Hanho #hanhlangcu,"4,5K","3,5K",137,791,21,5,,148 bình luậ,810428226057780,/story.php?story_fbid=810428226057780&id=412950512472222,Lưu
MASEW,,2019-11-19 20:27:57,Mơ Mộng,MASEW và 10K người khác,"8,6K",438,"1,2K",15,7,1,230 bình luậ,779313085835961,/masewprod/photos/a.412950542472219/779313085835961,Lưu
MASEW,,2019-11-18 18:11:08,Baiiiiii,4K,"3,5K",137,400,3,4,,68 bình luậ,809489052818364,/story.php?story_fbid=809489052818364&id=412950512472222,Lưu
MASEW,,2019-11-17 22:54:47,Cám ơnnnnnn ❤️❤️❤️❤️,10K,"8,6K",801,589,8,13,,126 bình luậ,808862522881017,/story.php?story_fbid=808862522881017&id=412950512472222,Lưu
MASEW,,2019-11-17 14:26:16,Cảm ơn âm nhạc 🎶 Cảm ơn các bạn ❤️,MASEW và 11K người khác,10K,313,"1,1K",9,7,1,185 bình luậ,808554756245127,/story.php?story_fbid=808554756245127&id=412950512472222,Lưu
