source,shared_from,date,text,reactions,likes,ahah,love,wow,sigh,grrr,comments,post_id,url,share
Đông Nhi,,2019-11-27 20:00:26,"Nhi rất rất hạnh phúc khi được gặp gỡ và giao lưu với đại gia đình Potatoes tại sự kiện Love Event cùng Lemonade vừa qua 🥰 Cảm ơn các bạn đã luôn ủng hộ Nhi, Quách Ánh cũng như Lemonade Cosmetics🥰  Để thay lời cảm ơn, Nhi sẽ dành tặng 1 ƯU ĐÃI ĐẶC BIỆT cho fan của Lemonade trong dịp Black Friday lần này: Bạn được tặng ngay 1 son Perfect Couple Love Edition khi mua 2 son Lemonade bất kì, áp dụng chỉ từ 28/11 - 1/12 thôi nhen. Tèn ten thích chưa nà 😍😍  Các bạn có thể mua son tại đây để được tặng nè: www.lemonade.vn hoặc Shopee, Lazada, Tiki ... và các cửa hàng bán lẻ trên toàn quốc như Guardian, Watsons, SammiShop, Hasaki... nheeee 😉😉 #LemonadeDongNhi #LemonadeLoveEdition",Quách Ánh và 35K người khác,30K,116,"5,5K",8,4,,2.090 bình luậ,10162748553670541,/story.php?story_fbid=10162748553670541&id=249295085540,Lưu
Đông Nhi,,2019-11-27 13:04:19,"Sau lễ cưới khóc cười ra nước mắt là những khoảnh khắc tuyệt vời nhất bên những người bạn đặc biệt của Nhi Thắng :""> kỷ niệm của tất cả chúng ta mãi là điều vô giá <3 mãi nhớ, mãi iu thương <3 <3  #VinpearlPhuQuoc #NhiThangwedding",Quách Ánh và 30K người khác,25K,246,"5,6K",16,1,,1.154 bình luậ,10162747689260541,/story.php?story_fbid=10162747689260541&id=249295085540,Lưu
Đông Nhi,,2019-11-26 20:45:24,Cả nhà ơi đi ăn lẩu đêm cùng Nhi nhé ;),"8,8K","6,3K",93,"2,3K",15,2,6,1.837 bình luậ,801378890326997,/story.php?story_fbid=801378890326997&id=249295085540,Lưu
Đông Nhi,,2019-11-25 14:31:03,Chúc mừng nàng phù dâu hot nhất đám cưới Nhi Thắng đã có màn trở lại rất ấn tượng: mạnh mẽ........xinh đẹp.......bản lĩnh 🥳🥳😚😚,Nguyễn Phương Dung và 50K người khác,42K,345,"7,1K",17,50,1,1.732 bình luậ,10162734892120541,/story.php?story_fbid=10162734892120541&id=249295085540,Lưu
Đông Nhi,,2019-11-24 14:25:48,Bé “chàng tiên cá” của kui 🧜🏻‍♂️,Đỗ Cát Phượng và 321K người khác,279K,"7,8K",33K,149,23,9,4.498 bình luậ,10162733328085541,/story.php?story_fbid=10162733328085541&id=249295085540,Lưu
Đông Nhi,,2019-11-21 19:29:37,Bây giờ mới hiểu vừa khóc vừa cười là như thế nào 😂😂,Đông Nhi và 46K người khác,37K,870,"8,1K",17,13,1,4.005 bình luậ,10162720026865541,/story.php?story_fbid=10162720026865541&id=249295085540,Lưu
Đông Nhi,,2019-11-20 20:08:29,"🎉 Tin vui dành cho Potatoes của Đông Nhi tại Hồ Chí Minh đây ‼ 17H Ngày 23/11 này tại Sân Vận Động Quân Khu 7, Nhi cùng Highlands Coffee sẽ mang đến cho cả nhà Đại tiệc âm nhạc Highlands Coffee 20 Năm, Gắn Kết Niềm Tự Hào với vô vàn điều hấp dẫn luôn đó ❤ Hãy tới Highlands gần nhất để đổi vé tham gia sự kiện nha cả nhà ơii 😍 #HighlandsCoffee #20Nam #GanKetNiemTuHaoDatViet",20K,16K,76,"3,5K",29,12,,1.867 bình luậ,10162715072770541,/story.php?story_fbid=10162715072770541&id=249295085540,Lưu
"Đông Nhi,Uni5",Uni5,2019-11-20 12:12:40,"Nghe đồn hết gói VIP rồi 😍 chúc các chàng trai của gia đình mình sẽ lại có một ngày rộn ràng bên tình yêu to bự UNI nhé ❤️  #FanmeetingUni5 #FanshipUni5 #24Nov50 𝑽𝑰𝑷 𝑻𝑰𝑪𝑲𝑬𝑻 đã hết rồi, hẹn gặp tất cả UNI vào 24/11/2019 nhé 🥰💋 𝑽𝑰𝑷 𝑻𝑰𝑪𝑲𝑬𝑻 300K Fan meeting - Ngập tràn quyền lợi và quà tặng độc quyền từ UNI5 😍 🌟 Một món quà siêu hot của 5 chàng trai nhà 6Sense Entertainment dành tặng cho những tín đồ #FANSHIP.  Nhanh tay đăng ký 𝐕𝐈𝐏 𝐓𝐈𝐂𝐊𝐄𝐓 𝐅𝐀𝐍𝐒𝐇𝐈𝐏 UNI5 300.000 để trở thành 50 VIP MEMBER tại Fan Meeting Uni5 ngày 24/11/2019 với hàng loạt quyền lợi ""siêu to khổng lồ"" Bước 1: Đăng ký mua Fanship đặc biệt của Fan meeting Uni5 tại form từ ngày 18-21.11 Điền thông tin cá nhân của bạn vào form: http://bit.ly/SpecialFanshipUni5 Bước 2: Các bạn chuyển vào số TK: 19034103762017  Chủ TK: Trần Ngọc Hân - Techcombank Bàu Cát - Tân Bình Nội dung CK: Họ tên - VIP UNI5 𝑪𝒉𝒖̣𝒑 𝒃𝒊𝒆̂𝒏 𝒏𝒉𝒂̣̂𝒏 𝒄𝒌 𝒈𝒖̛̉𝒊 𝒊𝒏𝒃𝒐𝒙 𝒑𝒂𝒈𝒆 𝑼𝑵𝑰5 🌟 Với mỗi 𝑽𝑰𝑷 𝑻𝑰𝑪𝑲𝑬𝑻 trị giá chỉ 300,000 đồng, bạn sẽ nhận được một package quà đặc biệt được chuẩn bị từ chính tay Uni5 gồm: * 𝑽𝑰𝑷 𝑻𝑰𝑪𝑲𝑬𝑻 Fan meeting * Chụp hình group photo với 5 thành viên (5 fans 1 lần chụp) * Hi touch và nhận hoa hồng từ Uni5 * Thư tay ngọt ngào từ 5 thành viên  * 5 bạn may mắn sẽ được chọn ngẫu nhiên nhận 1 trong 5 món đồ cá nhân của 5 thành viên * Một vật phẩm đặc biệt chỉ dành riêng cho Fan meeting đợt này (món quà trị giá 250,000 VND) Bước 3: Tới ngày tham gia sự kiện, các bạn nhớ mang giấy tờ cá nhân & tin nhắn xác nhận từ 6SE để nhận những phần quà từ FANSHIP. 💋💋💋 Lưu ý: các bạn đã đăng ký tham dự Fan Meeting Uni5 trên VLIVE vẫn sẽ được lựa chọn tham gia bình thường nhé Fan meeting: check in lúc 8h30 tại Hội trường Đại học Hồng Bàng - 215 Điện Biên Phủ, phường 15, Bình Thạnh, HCM.  #UNI5 #VLIVE #FANMEETING #UNI","7,4K","6,1K",58,"1,2K",4,4,1,321 bình luậ,10162714515190541,/story.php?story_fbid=10162714515190541&id=249295085540,Lưu
Đông Nhi,,2019-11-19 19:54:23,Vừa về tới nhà là được bố mẹ đãi bữa tiệc thịnh soạn ủng hộ Việt Nam tối nay 🇻🇳🇻🇳🥳🥳,Đỗ Cát Phượng và 197K người khác,168K,"1,2K",27K,74,4,2,2.855 bình luậ,10162710891535541,/story.php?story_fbid=10162710891535541&id=249295085540,Lưu
Đông Nhi,,2019-11-18 18:58:31,"Hôm rồi nhà mình có đến chơi với vợ chồng Nhi Thắng tại sự kiện “Nhịp tim dẫn bước đam mê” của Citibank x Lazada chưa? 😊 Ai đã đến thì mình cùng xem hình ôn lại những phút giây cực vui, ai đã lỡ mất sự kiện thì mình cũng xem hình để vui cùng Nhi Thắng nha 🥰 Mà nghe nói, mới có Thẻ tín dụng Lazada Citi Platinum trên tay thôi mà Nhi Thắng đã cuồng mua sắm online luôn rồi, điểm thưởng thì tăng GẤP 10 LẦN, thứ 7 Chủ nhật thì được Giảm 30% còn được tặng thêm 2 lần Giao Hàng Miễn Phí mỗi tháng nữa. Quá tuyệt vời 😍 Nên bạn nào mà mê online shopping như Nhi Thắng thì nhớ là phải đăng ký mở Thẻ tín dụng ngay vì còn rất nhiều ưu đãi cực đỉnh đang chờ các bạn đấy 🥳 #citibank #lazada #nhiptimdanbuocdamme","7,1K","5,8K",53,"1,3K",6,2,,696 bình luậ,10162705727865541,/story.php?story_fbid=10162705727865541&id=249295085540,Lưu
Đông Nhi,,2019-11-17 17:57:22,Đưa nhau đi trốn 👠🥾 H O N E Y M O O N ☄️☄️,Đỗ Cát Phượng và 205K người khác,167K,"1,8K",36K,91,15,6,3.235 bình luậ,10162700393915541,/story.php?story_fbid=10162700393915541&id=249295085540,Lưu
Đông Nhi,,2019-11-16 11:41:10,Cám ơn mọi người vì đã giúp cho một Mai Hồng Ngọc bình thường của hôm nay được yêu thương nhiều đến thế ❤️,Dang Thu Thao và 29K người khác,23K,142,"5,8K",10,7,3,1.389 bình luậ,10162694115920541,/story.php?story_fbid=10162694115920541&id=249295085540,Lưu
Đông Nhi,,2019-11-15 21:17:03,Việt Nam thắng nên Nhi và Thắng Selfie 🥳 Từ giờ hai đứa đã thành Thánh Khoe rồi vì selfie camera trước 32MP của Galaxy A50s gắt như vầy thì hi vọng đội nhà sẽ thắng từ SEAGames đến Worldcup nha 😝 Ai đồng ý thì comment chúc mừng đội tuyển Việt Nam nào ✌️ #GalaxyA50s #TrọnĐộtPhá #ĐaTrảiNghiệm #CameraSelfie32MP,38K,31K,306,"6,8K",16,1,1,1.657 bình luậ,10162690526005541,/story.php?story_fbid=10162690526005541&id=249295085540,Lưu
Đông Nhi,,2019-11-15 18:41:24,Lần đầu mang “Ngày đôi ta là của nhau” lên sóng 🥰🥰,124K,102K,524,21K,54,26,9,1.992 bình luậ,10162689975660541,/story.php?story_fbid=10162689975660541&id=249295085540,Lưu
Đông Nhi,,2019-11-15 10:34:49,Chúc mừng các nàng dâu phụ của chị đã comeback 🤗 tiếp tục giữ nhiệt giữ lửa phục vụ khán giả thật lâu nhé ❤️  #DTCN #dopthinhchuana #LipB #LucHuy #DoHieu,10K,"8,8K",104,"1,8K",7,,,313 bình luậ,10162688848925541,/story.php?story_fbid=10162688848925541&id=249295085540,Lưu
Đông Nhi,,2019-11-14 20:09:27,"Các bạn ơiiii, ngày 15/11 tới đây vợ chồng Nhi Thắng sẽ có mặt tại sự kiện “Nhịp tim dẫn bước đam mê” của Citibank x Lazada. Sự kiện đánh dấu cột mốc hợp tác của Citibank và Lazada. Nghe nói Nhi Thắng còn được vinh dự “mở hàng” cho một sản phẩm mới “cực HOT” của Lazada và Citi nữa, nghe đâu là nghiện mua sắm online luôn vì điểm thưởng siêu khủng lắm. Hồi hộp quá, các bạn nhớ đón xem cùng Nhi Thắng nhé 😍😍 Thời gian và địa điểm như bên dưới nha: + Thời gian: 18h ngày 15/11/2019  + Địa điểm: Tôn Dật Tiên – Hoàng Văn Thái, quận 7 – gần Cresent Mall Bật mí: Nhi và anh Thắng sẽ có những màn biểu diễn độc đáo tại buổi event này cùng với Karik và Ngọt. Đến chơi ngay cùng với Nhi để tham gia tương tác và nhận quà xịn từ Lazada x Citibank nhaa 🥰🥰 #citibank #lazada #nhiptimdanbuocdamme",13K,11K,91,"2,2K",10,2,,1.069 bình luậ,10162685231815541,/story.php?story_fbid=10162685231815541&id=249295085540,Lưu
Đông Nhi,,2019-11-14 14:16:48,"Cùng nhìn nhau già nua nhé ""ông"" ơi :3 #homnayminhcuoi  https://www.youtube.com/watch?v=eWu1mRl45TU",46K,36K,376,"9,8K",22,12,2,1.533 bình luậ,10162684401300541,/story.php?story_fbid=10162684401300541&id=249295085540,Lưu
Đông Nhi,,2019-11-13 20:04:38,Hôm nay cũng là một ngày vui 🍹🍹 ^^,Đông Nhi và 268K người khác,217K,"1,3K",49K,41,14,3,4.225 bình luậ,10162680275575541,/story.php?story_fbid=10162680275575541&id=249295085540,Lưu
Đông Nhi,,2019-11-13 10:07:10,"Chuyên mục tập dưỡng sinh sau khi dẩy đầm trong đám cưới 🕺🏼💃🏼 ——————————————————————— Đông Nhi & Ông Cao Thắng wearing #Dior & #Diormen for the cover of L'Officiel VN Nov 19 Issue Creative director: Alex Fox Stylist: Nhật Thiện Photography assistant: Niên Lâm Makeup: Thái Vũ Tài Ngân (Soll soll) Hair: Nguyễn Chánh Tính Assistant: Trường Sơn Lương Vũ, Quỳnh Anh Prop: Đỗ Hà Hoài Set Up: Lý Bình Sơn Photographer: Trí Nghĩa #tringhia #nemotion #dongnhi #ongcaothang #nhithangwedding #91119",Đỗ Hoàng Dương và 131K người khác,108K,"1,8K",20K,113,6,2,2.275 bình luậ,10162678793525541,/story.php?story_fbid=10162678793525541&id=249295085540,Lưu
Đông Nhi,,2019-11-12 20:09:10,09.11.2019 #homnayminhcuoi ❤️❤️❤️ Ngày mình cưới nhau - ngày đặc biệt nhất trong cuộc đời nên âm nhạc cũng cần đặc biệt 🥰🥰🥰 📽 https://youtu.be/eWu1mRl45TU #keeng #keengmusic #dongnhiongcaothang,22K,16K,82,"5,5K",4,3,,1.409 bình luậ,10162675417120541,/story.php?story_fbid=10162675417120541&id=249295085540,Lưu
Đông Nhi,,2019-11-12 16:34:35,Cũng đã đến ngày chung mái nhà bình yên :)  #homnayminhcuoi #nhithangwedding,Đỗ Hoàng Dương và 150K người khác,110K,207,39K,67,933,13,3.646 bình luậ,10162674844645541,/story.php?story_fbid=10162674844645541&id=249295085540,Lưu
Đông Nhi,,2019-11-12 13:20:51,"3 ngày vừa qua thật như trong mơ đối với Nhi và anh Thắng. Đám cưới đẹp như cổ tích, khoảng thời gian vui tươi ấm áp bên cạnh những người thân yêu và cả những khoảnh khắc lãng mạn ngọt ngào riêng tư, tất cả đều có sự đồng hành và hỗ trợ của Vinpearl Phú Quốc. Vợ chồng Nhi Thắng xin được gửi lời cảm ơn chân thành từ tận trái tim tới mỗi thành viên của Vinpearl Phú Quốc - những người luôn tận tuỵ, chu đáo và hết sức tinh tế để ngày vui của hai chúng mình được trọn vẹn nhất ❤️ #NhiThangwedding #VinpearlPhuQuoc #Noihanhphucbattandoncho",180K,154K,336,25K,23,3,1,1.580 bình luậ,10162674454435541,/story.php?story_fbid=10162674454435541&id=249295085540,Lưu
Đông Nhi,,2019-11-12 10:38:43,Vẫn chưa tin sau một đêm mình gọi nhau là vợ chồng ^^  Nguồn: http://kenh14.vn/phong-van-nong-dong-nhi-roi-nuoc-mat-cung-ong-cao-thang-chia-se-sau-2-ngay-goi-nhau-tieng-vo-chong-phu-nhan-da-co-em-be-20191111221247457.chn #homnayminhcuoi,Đỗ Hoàng Dương và 112K người khác,88K,599,23K,25,51,6,1.933 bình luậ,10162674002085541,/story.php?story_fbid=10162674002085541&id=249295085540,Lưu
Đông Nhi,,2019-11-11 20:51:02,"Mười năm nữa rồi thêm mười năm ta bước chung từ đây 💞💞 #HomNayMinhCuoi #NhiThangWedding #DongNhi #OngCaoThang  Audio độc quyền Keeng Music: http://keeng.vn/audio/Hom-Nay-Minh-Cuoi-Dong-Nhi,-Ong-Cao-Thang-320Kbps/iiMLJWae.html",61K,47K,197,14K,16,6,2,2.298 bình luậ,10162670260275541,/story.php?story_fbid=10162670260275541&id=249295085540,Lưu
Đông Nhi,,2019-11-11 19:29:55,Vợ chồng Nhi Thắng chào mọi người 😘😘🥰🥰,Ngo Kien Huy và 378K người khác,254K,"3,1K",119K,274,110,163,29.469 bình luậ,2395171447392581,/story.php?story_fbid=2395171447392581&id=249295085540,Lưu
Đông Nhi,,2019-11-11 16:19:30,‘Chuyến bay’ Ngọc Thắng sẽ hạ cánh tối nay tại ‘sân bay’ Đông Nhi để phát quà nha cả nhà thân iuuuuuu 😘😘😘😘😘😘😘,Đỗ Hoàng Dương và 125K người khác,106K,1K,17K,65,4,1,2.140 bình luậ,10162669526675541,/story.php?story_fbid=10162669526675541&id=249295085540,Lưu
Đông Nhi,,2019-11-10 16:48:30,"Sau một ngày hạnh phúc sẽ là chuỗi ngày hạnh phúc tiếp theo, bên gia đình, là những khoảnh khắc bình yên, ấm áp tại #VinpearPhuQuoc ❤️  #NhiThangwedding",Thảo Phạm và 246K người khác,196K,902,48K,56,8,1,3.417 bình luậ,10162664259415541,/story.php?story_fbid=10162664259415541&id=249295085540,Lưu
"Đông Nhi,Canifa",Canifa,2019-11-10 10:25:04,#sayitlove ❤️️🎉️🎉 Cùng Canifa #sayit HAPPY WEDDING!!! Đ𝗢̂𝗡𝗚 𝗡𝗛𝗜 👰 ♥️ 🤵 𝗢̂𝗡𝗚 𝗖𝗔𝗢 𝗧𝗛𝗔̆́𝗡𝗚 Chúc mừng cặp đôi vàng Đông Nhi & Ông Cao Thắng sau 10 năm yêu nhau đã được về chung 1 nhà <3 #sayit love #sayit together #sayit forever ♥️ Chúc Đông Nhi & Ông Cao Thắng sẽ cùng nắm tay nhau đi tiếp những chặng đường tiếp theo đến cuối đời ♥️ ~ From Fans & Canifa with love ~ #sayit #dongnhiongcaothang #happywedding,15K,11K,71,"4,2K",5,,,374 bình luậ,10162663226950541,/story.php?story_fbid=10162663226950541&id=249295085540,Lưu
Đông Nhi,,2019-11-09 21:41:16,Chúng con nợ Bố Mẹ nhiều 😔,Đỗ Cát Phượng và 417K người khác,325K,"1,6K",88K,129,804,26,4.488 bình luậ,10162659850980541,/story.php?story_fbid=10162659850980541&id=249295085540,Lưu
Đông Nhi,,2019-11-09 17:58:35,❤️ 91119 ❤️ #VinpearlPhuQuoc #NhiThangwedding,Ny Saki và 486K người khác,317K,"1,7K",166K,330,379,22,11.773 bình luậ,10162659055900541,/story.php?story_fbid=10162659055900541&id=249295085540,Lưu
Đông Nhi,,2019-11-09 16:55:51,Ngày hạnh phúc ❤️ #VinpearlPhuQuoc #NhiThangwedding,Tran Quang Minh và 191K người khác,139K,"1,1K",51K,171,71,81,5.470 bình luậ,2364469627152179,/story.php?story_fbid=2364469627152179&id=249295085540,Lưu
Đông Nhi,,2019-11-09 16:20:38,TRỰC TIẾP KHÁCH MỜI CHỤP HÌNH CÙNG CÔ DÂU - CHÚ RỂ #NhiThangWedding #VinpearPhuQuoc,Nguyễn Arafat và 149K người khác,98K,824,50K,178,39,42,11.247 bình luậ,457310734903159,/story.php?story_fbid=457310734903159&id=249295085540,Lưu
Đông Nhi,,2019-11-09 14:12:56,Đội hình “hộ tống” cô dâu chú rể và 2 báu vật bé bé xinh xinh của #weddingland của Doji trước giờ G 🤩🤩 lung linh vượt trội tụi tui rồi :))))),Đỗ Cát Phượng và 148K người khác,128K,"1,6K",18K,41,4,2,922 bình luậ,10162658460645541,/story.php?story_fbid=10162658460645541&id=249295085540,Lưu
Đông Nhi,,2019-11-08 19:28:49,Còn gì hạnh phúc hơn khi ngày vui của mình được nhiều người như vậy chúc phúc <3,Đỗ Hoàng Dương và 134K người khác,109K,"1,6K",22K,187,28,26,2.540 bình luậ,10162653807725541,/story.php?story_fbid=10162653807725541&id=249295085540,Lưu
Đông Nhi,,2019-11-08 14:24:07,Thì ra đây chính là những cảm xúc của một cô gái vừa mới lập gia đình 🙂,Đỗ Cát Phượng và 245K người khác,187K,"1,8K",56K,71,20,1,3.011 bình luậ,10162653069135541,/story.php?story_fbid=10162653069135541&id=249295085540,Lưu
Đông Nhi,,2019-11-08 12:37:10,Mẹ ơi...,Thảo Phạm và 544K người khác,443K,2K,98K,193,132,5,4.033 bình luậ,10162652817245541,/story.php?story_fbid=10162652817245541&id=249295085540,Lưu
Đông Nhi,,2019-11-08 09:40:24,Cám ơn ông trời đã cho chúng con tìm thấy nhau ❤️,Đông Nhi và 954K người khác,730K,"5,1K",218K,512,118,34,17.784 bình luậ,10162652204230541,/story.php?story_fbid=10162652204230541&id=249295085540,Lưu
Đông Nhi,,2019-11-07 21:21:22,We are ready 🥰🥰Chúng tôi đã sẵn sàng 🥰🥰,Ngo Kien Huy và 211K người khác,163K,487,46K,1K,19,2,3.997 bình luậ,10162649010225541,/story.php?story_fbid=10162649010225541&id=249295085540,Lưu
Đông Nhi,,2019-11-06 17:24:31,Sống thật bình yên trong bức tranh cuộc đời... 10 năm không kể hết những hành trình ❤️❤️ https://youtu.be/8tvbr1bYmJM #ngaydoitalacuanhau,Đỗ Hoàng Dương và 110K người khác,76K,346,33K,44,102,4,3.291 bình luậ,10162643447520541,/story.php?story_fbid=10162643447520541&id=249295085540,Lưu
Đông Nhi,,2019-11-05 19:19:24,Kể từ khi anh làm tim em xúc động...  https://www.youtube.com/watch?v=8tvbr1bYmJM  #NgayDoTaLaCuaNhau #NDTLCN,52K,38K,161,13K,12,29,4,1.316 bình luậ,10162638877620541,/story.php?story_fbid=10162638877620541&id=249295085540,Lưu
Đông Nhi,,2019-11-05 09:42:52,"#ngaydoitalacuanhau ❤️❤️❤️ Cảm ơn Keeng music đã luôn đồng hành cùng Đông Nhi - Ông Cao Thắng, đặc biệt là trong những khoảnh khắc quan trọng như thế này 🥰🥰🥰 Cùng thưởng thức bản audio ĐỘC QUYỀN trên Keeng nhé: http://keeng.vn/audio/Ngay-Doi-Ta-La-Cua-Nhau-Dong-Nhi,-Ong-Cao-Thang-320Kbps/weM59Doy https://youtu.be/8tvbr1bYmJM #keeng #keengmusic #dongnhiongcaothang",Nguyễn Arafat và 33K người khác,26K,94,"7,1K",15,2,1,723 bình luậ,10162637612775541,/story.php?story_fbid=10162637612775541&id=249295085540,Lưu
"Đông Nhi,Mai Hồng Ngọc",Mai Hồng Ngọc,2019-11-05 09:04:35,"#ngaydoitalacuanhau ❤️❤️❤️CẢM XÚC  Đối với Nhi mọi thứ đều xuất phát từ cảm xúc...❤ Nhi mong muốn được tự tay làm tất cả những điều mình có thể...chắc đây sẽ là một đội chụp hình cưới ít người nhất từ trước đến nay mà mọi người biết nhỉ? ^^ Chỉ vỏn vẹn có cô dâu, chú rể, anh chàng chụp ảnh và cậu bé lo quần áo 🥰❤  Vì cảm xúc nên Nhi muốn tự lên ý tưởng cho bộ hình cưới của mình ❤ Vì cảm xúc nên Nhi muốn tự bó những bông hoa cầm tay 🥰 Vì cảm xúc nên Nhi đã tự chỉnh trang cho bản thân và cho người mình thương ❤ Cứ thế cùng 2 người em...4 người đã rong ruổi khắp nơi trên thành phố Sydney, cứ đi rồi nghỉ, rồi lại đi 😊 Ngồi nghĩ lại mới thấy, trong những khoảnh khắc quan trọng nhất đời mình, chỉ cần những người đủ yêu, đủ hiểu là đã có thể tạo nên những bức hình thật cảm xúc đối với mình ❤❤❤ Cám ơn gia đình ❤ Đến ngày hôm nay khi xem lại những bức ảnh được lồng ghép trong bài nhạc quá đỗi ngọt ngào của người em Vương Anh Tú mà cứ cười tủm tỉm...hóa ra tình yêu của mình cũng dễ thương ghê 🥰🥰🥰  4 năm sau ca khúc Ta Là Của Nhau thì ngày hôm nay ca khúc Ngày Đôi Ta Là Của Nhau ra đời như một dấu ấn, khi Nhi và anh Thắng chuẩn bị bước vào một giai đoạn mới của cả hai. Sẽ có những chặng đường mới, những thử thách mà cả hai sẽ không biết trước được...chỉ cần..""...đừng suy nghĩ, hãy cùng đi, chiếc nhẫn này anh xin hứa bất cứ gì..."" và Nhi luôn tin vào điều đó ❤❤ https://youtu.be/8tvbr1bYmJM #NgayDoiTaLaCuaNhau",Đỗ Cát Phượng và 94K người khác,74K,117,20K,122,6,,1.426 bình luậ,10162637468905541,/story.php?story_fbid=10162637468905541&id=249295085540,Lưu
