source,shared_from,date,text,reactions,likes,ahah,love,wow,sigh,grrr,comments,post_id,url
Stardaily.vn,,2019-10-11 21:15:00,"Cái gì? Cưới hả? Từ từ, nốt ván đã nào 😂😂",,,,,,,,Bình luậ,2430525303870345,/story.php?story_fbid=2430525303870345&id=1640188299570720
Stardaily.vn,,2019-10-12 10:15:57,Chuẩn luôn!,2,2,,,,,,Bình luậ,2431176380471904,/story.php?story_fbid=2431176380471904&id=1640188299570720
Stardaily.vn,,2019-10-11 20:15:01,Thanh long tím lạ thật đấy.  Nhìn lạ ghê!!!,12,11,,,1,,,1 bình luậ,2429600217296187,/story.php?story_fbid=2429600217296187&id=1640188299570720
Stardaily.vn,,2019-10-11 14:13:21,Cười té ghế :))),4,2,2,,,,,Bình luậ,2430471607209048,/story.php?story_fbid=2430471607209048&id=1640188299570720
Stardaily.vn,,2019-10-11 10:15:00,"Nói thật thì ích cho người nghe mà thiệt cho người nói, vì khiến cho người ta ghét.",24,24,,,,,,1 bình luậ,2430315113891364,/story.php?story_fbid=2430315113891364&id=1640188299570720
Stardaily.vn,,2019-10-10 20:15:01,Cua gì mà to quá trời!!!,,,,,,,,Bình luậ,2429593573963518,/story.php?story_fbid=2429593573963518&id=1640188299570720
Stardaily.vn,,2019-10-10 21:15:01,Chúng mình khi về già cũng sẽ thế này nhé lũ bạn thân ơi!!!!,4,3,,1,,,,Bình luậ,2429740727282136,/story.php?story_fbid=2429740727282136&id=1640188299570720
Stardaily.vn,,2019-10-10 19:15:02,Tình nghĩa phu thê liệu có bền lâu??? Mãi yêu <3,22,11,9,,,2,,Bình luậ,2429705507285658,/story.php?story_fbid=2429705507285658&id=1640188299570720
Stardaily.vn,,2019-10-10 14:15:00,Thánh bổ sầu riêng,2,2,,,,,,Bình luậ,2429579383964937,/story.php?story_fbid=2429579383964937&id=1640188299570720
Stardaily.vn,,2019-10-09 20:15:00,Trò này hay lắm nha mọi người ơi =))),,,,,,,,1 bình luậ,2428731020716440,/story.php?story_fbid=2428731020716440&id=1640188299570720
Stardaily.vn,,2019-10-10 10:16:00,"Bạn có bao giờ tự hỏi, tại sao ba mẹ mình lại phải vất vả ngược xuôi lo công việc mà chưa bao giờ có thời gian thảnh thơi?",15,14,,1,,,,Bình luậ,2429544863968389,/story.php?story_fbid=2429544863968389&id=1640188299570720
Stardaily.vn,,2019-10-09 21:15:00,Tag nhè nhẹ đứa bạn thân vô nè 😌😌,2,1,1,,,,,Bình luậ,2428934917362717,/story.php?story_fbid=2428934917362717&id=1640188299570720
Stardaily.vn,,2019-10-09 19:15:01,Đúng là gia môn bất hạnh mà =))),17,11,6,,,,,Bình luậ,2428741330715409,/story.php?story_fbid=2428741330715409&id=1640188299570720
Stardaily.vn,,2019-10-09 10:15:00,Thái độ của tôi còn tùy thuộc vào bạn nhé,20,20,,,,,,2 bình luậ,2428697310719811,/story.php?story_fbid=2428697310719811&id=1640188299570720
Stardaily.vn,,2019-10-08 19:15:00,Đây có được gọi là ngu có tổ chức không ạ?? =))),,,,,,,,1 bình luậ,2428040850785457,/story.php?story_fbid=2428040850785457&id=1640188299570720
Stardaily.vn,,2019-10-08 20:15:01,Có ai cũng chưa biết như em không ạ??,12,9,,,3,,,Bình luậ,2427900214132854,/story.php?story_fbid=2427900214132854&id=1640188299570720
Stardaily.vn,,2019-10-08 10:15:00,Mệt 😞,13,11,,,,2,,Bình luậ,2427851937471015,/story.php?story_fbid=2427851937471015&id=1640188299570720
Stardaily.vn,,2019-10-07 21:15:00,Học quân sự có gì vui 😌😌,5,4,,,,,1,Bình luậ,2427293787526830,/story.php?story_fbid=2427293787526830&id=1640188299570720
Stardaily.vn,,2019-10-07 20:15:02,"Đúng là mọi thứ ngu dốt đều phải trả giá hết anh em ạ, cười vỡ bụng mất!!!",3,2,,1,,,,Bình luậ,2427080147548194,/story.php?story_fbid=2427080147548194&id=1640188299570720
Stardaily.vn,,2019-10-07 19:15:01,đỉnk kout vl =))),14,11,3,,,,,2 bình luậ,2427256780863864,/story.php?story_fbid=2427256780863864&id=1640188299570720
Stardaily.vn,,2019-10-07 14:15:00,Ăn bánh ngắm soái ca nào cả nhà ơi..!,4,2,,2,,,,1 bình luậ,2427140567542152,/story.php?story_fbid=2427140567542152&id=1640188299570720
Stardaily.vn,,2019-10-07 10:15:00,Vỗ tay cho chính mình!,88,67,15,1,,5,,45 bình luậ,2427050440884498,/story.php?story_fbid=2427050440884498&id=1640188299570720
Stardaily.vn,,2019-10-06 21:15:01,Không được cười... không được cười... 😆😆,3,3,,,,,,Bình luậ,2424765951112947,/story.php?story_fbid=2424765951112947&id=1640188299570720
Stardaily.vn,,2019-10-06 20:15:01,Những điều thú vị có thể bạn chưa được nhìn thấy bao giờ!,8,7,,,1,,,Bình luậ,2424644787791730,/story.php?story_fbid=2424644787791730&id=1640188299570720
Stardaily.vn,,2019-10-06 10:15:00,Nhớ lấy!,78,76,1,1,,,,5 bình luậ,2425463847709824,/story.php?story_fbid=2425463847709824&id=1640188299570720
Stardaily.vn,,2019-10-05 21:15:01,Awwwwwwwwwwwww 😍😍😍😍,15,14,,1,,,,Bình luậ,2424764187779790,/story.php?story_fbid=2424764187779790&id=1640188299570720
Stardaily.vn,,2019-10-05 20:15:00,"Bắt cá trên cạn, lạ quá mọi người nhỉ!!!",16,14,2,,,,,6 bình luậ,2424636601125882,/story.php?story_fbid=2424636601125882&id=1640188299570720
Stardaily.vn,,2019-10-05 14:15:00,Cười té ghế :))),1,1,,,,,,Bình luậ,2425440214378854,/story.php?story_fbid=2425440214378854&id=1640188299570720
Stardaily.vn,,2019-10-05 10:15:00,Hãy sống như một dòng sông!,53,48,,5,,,,2 bình luậ,2425428901046652,/story.php?story_fbid=2425428901046652&id=1640188299570720
Stardaily.vn,,2019-10-04 21:15:00,Con gái còn thua xa 😌😌😌,9,9,,,,,,Bình luậ,2424669714455904,/story.php?story_fbid=2424669714455904&id=1640188299570720
Stardaily.vn,,2019-10-04 20:15:01,Mật ong đi bà con ơi!!!,22,19,,2,1,,,1 bình luậ,2424625284460347,/story.php?story_fbid=2424625284460347&id=1640188299570720
Stardaily.vn,,2019-10-04 19:15:00,Nụ hôn sâu với Tiểu Cường =)),22,16,6,,,,,6 bình luậ,2424572521132290,/story.php?story_fbid=2424572521132290&id=1640188299570720
Stardaily.vn,,2019-10-04 14:15:00,Học vẽ những thứ đơn giản,9,9,,,,,,1 bình luậ,2423950394527836,/story.php?story_fbid=2423950394527836&id=1640188299570720
Stardaily.vn,,2019-10-04 10:15:00,Phụ nữ khôn ngoan nên lấy chồng hơn tuổi!,50,38,11,,1,,,6 bình luậ,2424564791133063,/story.php?story_fbid=2424564791133063&id=1640188299570720
Stardaily.vn,,2019-10-03 21:15:01,Vợ chồng mà đề phòng nhao thế nài thì còn sống với nhao nàm chì nữaaaaa,5,5,,,,,,Bình luậ,2423947604528115,/story.php?story_fbid=2423947604528115&id=1640188299570720
Stardaily.vn,,2019-10-03 20:15:00,Mưa lạnh thế này mà ngồi ăn món này thì ngon phải biết!!!,9,8,,,1,,,Bình luậ,2423771057879103,/story.php?story_fbid=2423771057879103&id=1640188299570720
Stardaily.vn,,2019-10-03 14:15:01,Những điều bạn chưa biết..!,2,2,,,,,,Bình luậ,2423911241198418,/story.php?story_fbid=2423911241198418&id=1640188299570720
Stardaily.vn,,2019-10-03 10:15:00,Đúng không các mẹ?,12,12,,,,,,1 bình luậ,2423760837880125,/story.php?story_fbid=2423760837880125&id=1640188299570720
