source,shared_from,date,text,reactions,likes,ahah,love,wow,sigh,grrr,comments,post_id,url
YAN News,,2019-11-05 09:00:47,Uốn lưỡi ngàn lần trước khi nói là chắc ăn nhất! #Moingaymotdieuhay,"2,5K","2,3K",126,80,3,2,,136 bình luậ,3891065694297624,/story.php?story_fbid=3891065694297624&id=154180304652867
YAN News,,2019-11-05 08:50:18,Tình người trong Vbiz chưa bao giờ ấm áp đến thế 😍,"1,8K","1,7K",5,116,2,31,1,26 bình luậ,3894248203979373,/story.php?story_fbid=3894248203979373&id=154180304652867
YAN News,,2019-11-05 08:47:02,"Trời, lúc coi phần 3 chưa có con, giờ con 3 tuổi rồi chắc phải cày lại phần 3 😝","2,1K","1,8K",139,110,33,1,,352 bình luậ,3894236707313856,/story.php?story_fbid=3894236707313856&id=154180304652867
YAN News,,2019-11-05 08:41:14,"Nét nào ra nét đó, đẹp không tì vết luôn Củng Lợi ơi 🤩",208,204,,4,,,,3 bình luậ,3894214827316044,/story.php?story_fbid=3894214827316044&id=154180304652867
YAN News,,2019-11-05 08:32:25,"Đẹp trai, hát hay nhưng tính tình thì... 😏 Thôi anh ơi tha cho Selena 😞",358,318,31,5,,2,2,31 bình luậ,3894181617319365,/story.php?story_fbid=3894181617319365&id=154180304652867
YAN News,,2019-11-05 08:10:45,"Đẹp đâu chưa thấy, chỉ thấy rước họa vào thân, lựa nơi uy tín mà làm đẹp các bạn ơi 😔","2,7K","2,4K",71,8,112,100,11,799 bình luậ,3894118540659006,/story.php?story_fbid=3894118540659006&id=154180304652867
YAN News,,2019-11-05 07:41:00,LIỆU MÀ ĐẶT NIỀM TIN CHO ĐÚNG CHỖ ĐẤY CỰ GIẢI Ạ! 🥺,228,216,7,3,2,,,14 bình luậ,3892384690832391,/story.php?story_fbid=3892384690832391&id=154180304652867
YAN News,,2019-11-05 05:20:00,Các lãnh đạo của Liên đoàn bóng đá Việt Nam phải ra mặt để cáo lỗi và xin phép HLV Park dời thời gian tập trung... 😨,785,753,11,13,6,2,,59 bình luậ,3892905050780355,/story.php?story_fbid=3892905050780355&id=154180304652867
YAN News,,2019-11-05 04:20:00,Trong khi giá khởi điểm của chú bọ hung chỉ có 206 đồng bà con ạ... 😳,249,233,14,,2,,,3 bình luậ,3892893057448221,/story.php?story_fbid=3892893057448221&id=154180304652867
YAN News,,2019-11-05 03:20:01,"Người yêu cố diễn viên từng tiết lộ, mối tình của cô đổ vỡ có phần liên quan đến một cô diễn viên tên là V mà V lại bị nghi là Vân Anh, bởi nam tài tử thường gọi Vân Anh là bé Vân...",118,114,1,2,,,1,5 bình luậ,3892888457448681,/story.php?story_fbid=3892888457448681&id=154180304652867
YAN News,,2019-11-05 01:51:13,Trời ơi ta nói nhìn không ra thánh lầy Diệu Nhi luôn á :))),126,123,,3,,,,3 bình luậ,3892775157460011,/story.php?story_fbid=3892775157460011&id=154180304652867
YAN News,,2019-11-04 23:00:00,"Cho gặp làm gì không biết, chán... 🙁",Võ ĐăngKhoa và 12K người khác,10K,"1,3K",157,24,584,8,1.464 bình luậ,3891289510941909,/story.php?story_fbid=3891289510941909&id=154180304652867
YAN News,,2019-11-04 22:57:50,2 người kết hôn 20 năm vẫn mặn nồng như thuở ban đầu nhé 😍,"1,1K","1,1K",7,44,3,,,48 bình luậ,3892622964141897,/story.php?story_fbid=3892622964141897&id=154180304652867
YAN News,,2019-11-04 22:47:40,"CẢNH ĐẸP, NGƯỜI CÒN ĐẸP HƠN 😍",436,424,5,6,1,,,15 bình luậ,3892587434145450,/story.php?story_fbid=3892587434145450&id=154180304652867
YAN News,,2019-11-04 22:41:01,"CẨN THẬN KẺO ""TIM VỠ"" ĐẤY TUỔI TỴ ƠI...",391,368,2,8,2,10,1,55 bình luậ,3892310840839776,/story.php?story_fbid=3892310840839776&id=154180304652867
YAN News,,2019-11-04 22:36:31,"25 tuổi người ta mua nhà riêng, 25 tuổi bạn làm được gì? 😭",880,820,23,31,4,2,,86 bình luậ,3892546007482926,/story.php?story_fbid=3892546007482926&id=154180304652867
YAN News,,2019-11-04 22:22:57,"TÌNH YÊU LÀ THẾ! Một khi đã yêu con người ta trở nên ngây dại, mất phương hướng VÀ ÍCH KỈ VỚI CHÍNH BẠN THÂN CỦA MÌNH...","1,7K","1,5K",37,78,5,5,2,36 bình luậ,3890156201055240,/story.php?story_fbid=3890156201055240&id=154180304652867
YAN News,,2019-11-04 22:17:01,"Không có con gái béo, chỉ có con gái chưa tìm được động lực của mình 😆",1K,971,66,17,22,,,124 bình luậ,3892476657489861,/story.php?story_fbid=3892476657489861&id=154180304652867
YAN News,,2019-11-04 22:00:01,"Lúc còn nhỏ, mẹ nhờ đi mua giúp cái áo, mua có 50 ngàn nhưng về nói 70 ngàn. Bây giờ lớn rồi, mua đôi giày tặng mẹ, 1 triệu nhưng nói với mẹ: “Có mỗi 300 ngàn à mẹ, nó đang sale đó”. Lúc còn nhỏ, có đứa đánh mình, chạy về méc mẹ liền. Sáng, mẹ cho tiền ăn sáng lỡ làm mất là về mếu máo với mẹ ngay. Giờ lớn rồi, sáng đi làm lỡ bị nó giật cái túi, mất trắng nhưng vẫn không dám gọi về cho mẹ, sợ mẹ lại lo. Đi làm có bị ức hiếp cũng cắn răng mà chịu đựng, nhất quyết không để ba mẹ lo. Trưởng thành đôi khi chẳng có gì to tát, chỉ là khi ta nghĩ về gia đình nhiều hơn, trưởng thành cũng là khi ta khao khát trở về nhà nhiều hơn. Và đôi khi trưởng thành cũng là khi ta nhận ra ba mẹ đã già đi biết chừng nào.",Trần Bích Hạnh và 21K người khác,17K,189,"2,2K",6,"1,2K",3,992 bình luậ,3891011444303049,/story.php?story_fbid=3891011444303049&id=154180304652867
YAN News,,2019-11-04 21:59:52,"Hôm trước ăn tối cùng Ôn Bích Hà, hôm nay chụp ảnh cùng Hứa Ngụy Châu, oh wow 😳",362,343,2,10,6,,1,12 bình luậ,3892401980830662,/story.php?story_fbid=3892401980830662&id=154180304652867
YAN News,,2019-11-04 21:50:47,Là thành viên hoàng gia hay không thì vợ chồng Hoàng tử vẫn bị cánh truyền thông để ý. Muốn sống cuộc đời mình muốn cũng không dễ dàng... 😞,303,291,5,6,1,,,7 bình luậ,3892361257501401,/story.php?story_fbid=3892361257501401&id=154180304652867
YAN News,,2019-11-04 21:41:00,NĂM 1987 CÓ GÌ ĐẶC BIỆT SAO MÀ TOÀN ĐẠI MỸ NHÂN? 🤩,326,310,6,9,,,1,17 bình luậ,3892239220846938,/story.php?story_fbid=3892239220846938&id=154180304652867
YAN News,,2019-11-04 21:29:01,"Ngay giữa tâm bão, không đính chính, không ồn ào, chỉ nhẹ nhàng bảo vệ thần tượng thế này thôi! 😯",715,674,25,15,1,,,63 bình luậ,3892264540844406,/story.php?story_fbid=3892264540844406&id=154180304652867
YAN News,,2019-11-04 21:22:46,"TRUYỀN THÁI Y ĐI, EM ĐÃ SAY ĐẾN QUÊN LỐI VỀ 🤣  #YANDigital đồng hành cùng #GuongMatThanQuen",12K,11K,256,1K,15,5,8,250 bình luậ,3891715787565948,/story.php?story_fbid=3891715787565948&id=154180304652867
YAN News,,2019-11-04 21:00:01,"QUYẾT TÂM, QUYẾT TÂM, QUYẾT TÂM!!!",23K,19K,"3,7K",437,45,69,3,3.847 bình luậ,3890962977641229,/story.php?story_fbid=3890962977641229&id=154180304652867
YAN News,,2019-11-04 20:57:20,"Biết là sai nhưng có nhiều cách để ""trị"" hơn là dồn người ta vào chân tường đúng không? 😔",899,752,131,15,,1,,136 bình luậ,3892119527525574,/story.php?story_fbid=3892119527525574&id=154180304652867
