source,shared_from,date,text,reactions,likes,ahah,love,wow,sigh,grrr,comments,post_id,url,share
VietnamPlus,,2019-11-27 10:45:18,,7,7,,,,,,1 bình luậ,10157707929914441,/story.php?story_fbid=10157707929914441&id=120834779440,Lưu
VietnamPlus,,2019-11-26 17:40:40,Cũng nên thông cảm cho bạn.,9,9,,,,,,Bình luậ,10157705594769441,/story.php?story_fbid=10157705594769441&id=120834779440,Lưu
VietnamPlus,,2019-11-26 08:34:27,"Trước đó, Việt Nam đã ba lần xuất bản Sách trắng Quốc phòng vào các năm 1998, 2004 và 2009. Về nguyên nhân sau 10 năm mới nối lại công bố Sách trắng, Thượng tướng Nguyễn Chí Vịnh cho biết Sách trắng Quốc phòng Việt Nam 2009 đến nay chưa lạc hậu, các chính sách chiến lược cũng cần có thời gian để được kiểm nghiệm.",5,5,,,,,,Bình luậ,10157704783719441,/story.php?story_fbid=10157704783719441&id=120834779440,Lưu
VietnamPlus,,2019-11-26 08:33:55,"Liên quan đến thông tin lan truyền trên mạng xã hội về việc một số bộ đội vừa bị người dân Đồng Tâm khống chế bắt giữ, lãnh đạo huyện Mỹ Đức cho biết thêm chiều 25/11, nhóm bộ đội làm nhiệm vụ kiểm soát quân sự phục vụ hội thao tại Trường bắn Miếu Môn (nằm ngay cạnh xã Đồng Tâm) có di chuyển quân trên xe ôtô qua khu vực Miếu Môn. Cùng thời gian này, tại trụ sở Ủy ban Nhân dân huyện Mỹ Đức, Thanh tra Chính phủ đang tổ chức Hội nghị đối thoại với công dân xã Đồng Tâm và các xã tiếp giáp với sân bay Miếu Môn. Người dân lầm tưởng có việc nghiêm trọng, nên đã vây xe lại.",17,14,3,,,,,1 bình luậ,10157704782839441,/story.php?story_fbid=10157704782839441&id=120834779440,Lưu
VietnamPlus,,2019-11-25 16:50:15,Ngay cả trung phong số 1 Việt Nam trước đây là Lê Huỳnh Đức cũng chưa bao giờ ghi được 4 bàn trong 1 trận đấu vào lưới Brunei!,50,37,9,3,1,,,1 bình luậ,10157702729159441,/story.php?story_fbid=10157702729159441&id=120834779440,Lưu
VietnamPlus,,2019-11-25 14:27:03,"Theo quyết định đưa vụ án ra xét xử, ông Trương Minh Tuấn, cựu Bộ trưởng Bộ Thông tin và Truyền thông, bị triệu tập với tư cách người có quyền lợi và nghĩa vụ liên quan. Tuy nhiên, ông Tuấn có đơn xin xử vắng mặt.",9,6,,,2,1,,Bình luậ,10157702530389441,/story.php?story_fbid=10157702530389441&id=120834779440,Lưu
VietnamPlus,,2019-11-25 14:26:24,Thịt gà thì không cần đến dao mổ trâu!,9,9,,,,,,1 bình luậ,10157702529594441,/story.php?story_fbid=10157702529594441&id=120834779440,Lưu
VietnamPlus,,2019-11-25 10:00:37,"Mọi người ở Cao Bằng, Lạng Sơn vẫn an toàn cả chứ?",7,6,,,1,,,Bình luậ,10157702047454441,/story.php?story_fbid=10157702047454441&id=120834779440,Lưu
VietnamPlus,,2019-11-25 09:13:36,"Từ tuần này, từ khóa được nhắc đến nhiều nhất sẽ là #SEAGames30",17,17,,,,,,1 bình luậ,10157701956549441,/story.php?story_fbid=10157701956549441&id=120834779440,Lưu
VietnamPlus,,2019-11-25 09:06:46,"Trao đổi với phóng viên TTXVN, ông Suhaimi Sainy, Quản lý Cấp cao về Văn hóa Đại chúng thuộc Reed Exhibitions – nhà tổ chức sự kiện hàng đầu thế giới, cho biết, SGCC nằm cùng hệ thống với New York Comic Con và hứa hẹn trở thành sự kiện có tầm ảnh hưởng nhất đối với giới trẻ khu vực.",4,4,,,,,,Bình luậ,10157701945794441,/story.php?story_fbid=10157701945794441&id=120834779440,Lưu
VietnamPlus,,2019-11-24 20:01:23,Riêng bộ xu có đồng vàng nặng 10kg thuộc phiên bản giới hạn có giá 100.000 nhân dân tệ (14.200 USD) mỗi đồng xu.,6,6,,,,,,1 bình luậ,10157699998089441,/story.php?story_fbid=10157699998089441&id=120834779440,Lưu
VietnamPlus,,2019-11-24 20:00:18,Quan trọng là ông trợ lý kia có thực sự thành khẩn hay không.,9,9,,,,,,Bình luậ,10157699995959441,/story.php?story_fbid=10157699995959441&id=120834779440,Lưu
VietnamPlus,,2019-11-22 20:00:01,"Liên quan đến ý kiến của phó giáo sư, tiến sỹ Nguyễn Kế Hào về kết quả thẩm định các bản mẫu sách giáo khoa môn Tiếng Việt lớp 1, Toán lớp 1 do giáo sư, tiến sỹ khoa học Hồ Ngọc Đại chủ biên, Thủ tướng Chính phủ đã giao Bộ trưởng Bộ Giáo dục và Đào tạo nghiên cứu kỹ ý kiến của giáo sư, tiến sỹ khoa học Hồ Ngọc Đại, Phó Giáo sư, Tiến sỹ Nguyễn Kế Hào và ý kiến của các chuyên gia, dư luận về ""Chương trình thực nghiệm""; chỉ đạo rà soát lại việc thẩm định sách giáo khoa nói chung, đánh giá lại ""Chương trình thực nghiệm"" và tổ chức đối thoại, tiếp thu trên tinh thần cầu thị, xây dựng, đúng pháp luật.",4,4,,,,,,Bình luậ,10157694085139441,/story.php?story_fbid=10157694085139441&id=120834779440,Lưu
