source,shared_from,date,text,reactions,likes,ahah,love,wow,sigh,grrr,comments,post_id,url
Billboard Việt Nam,,2019-10-12 10:15:27,Thiệt vô lý quá! #officialbillboardvietnam,38,34,2,2,,,,Bình luậ,406827756682528,/story.php?story_fbid=406827756682528&id=137327796965860
Billboard Việt Nam,,2019-10-11 21:00:02,"#ExclusiveVideo HÀ LÊ ""ĐẮNG LÒNG"" KHI BIGDADDY XÀI LẠI LỜI TRONG ""MƯỢN RƯỢU TỎ TÌNH""! Không hát lại câu ""ăn đứt mấy tấm hình đăng face"", Hà Lê ""bức xúc"" khi BigDaddy đã sử dụng lại câu rap trong bài hát chung của cả hai người! Thực hư ra sao hãy cùng xem màn chơi game cực ""fail"" của Hà Lê nhé! #officialbillboardvietna",43,35,6,2,,,,Bình luậ,406432986722005,/story.php?story_fbid=406432986722005&id=137327796965860
Billboard Việt Nam,,2019-10-12 00:44:09,"#SongChoice 🎵 Rude - MAGIC!  https://www.youtube.com/watch?v=PIh2xe4jnpk #126. Bố của người yêu ngăn cản tôi và cô ấy đến với nhau rất gay gắt. Có lẽ vì hoàn cảnh và nghề nghiệp hiện tại của tôi. Không biết làm gì hơn, tôi càng phải quyết tâm chứng minh cho bác ấy thấy được khả năng của mình, tôi cày ngày cày đêm, lao vào công việc điên cuồng như một con thiêu thân để rồi ngày đó đã đến. Tôi đã có trong tay tiền bạc và địa vị, tôi tìm đến và chính thức ngỏ lời cầu hôn cô ấy, dù vậy ông vẫn luôn nghiêm khắc và tỏ ra khó chịu với tôi. Cô ấy thì an ủi chỉ cần ở bên nhau, chúng ta hạnh phúc là được, có lẽ là phải đành vậy. Trước mắt tôi sẽ là cuộc sống đầy màu hồng hay sẽ là những chuỗi ngày đen tối vẫn chưa biết được nhưng chỉ cần biết được ở bên cạnh người con gái mình yêu chính là điều hạnh phúc nhất mà tôi có được rồi!\ ----------------------------- 💌 Các bạn đừng quên gửi câu chuyện của mình cùng ca khúc yêu cầu về hộp thư cảm xúc #SongChoice của Billboard Việt Nam dưới đây nhé: http://bit.ly/songchoicebbvn #OfficialBillboardVietNam #HộpThưCảmXúc #SongChoice #NgheBạnMỗiNgày",205,167,22,16,,,,12 bình luậ,406608010037836,/story.php?story_fbid=406608010037836&id=137327796965860
Billboard Việt Nam,,2019-10-11 18:54:13,Xao xuyến bao con tim V.I.P rồi! #officialbillboardvietnam,"9,1K","7,4K",196,"1,5K",17,5,,141 bình luậ,406433916721912,/story.php?story_fbid=406433916721912&id=137327796965860
Billboard Việt Nam,,2019-10-11 18:05:35,Bạn thích nhất ca khúc nào của Trịnh Thăng Bình? #officialbillboardvietnam,61,51,,10,,,,34 bình luậ,406411876724116,/story.php?story_fbid=406411876724116&id=137327796965860
Billboard Việt Nam,,2019-10-11 15:37:01,Chờ đón hit mới từ chị nhà nào! #officialbillboardvietnam,29,27,,2,,,,1 bình luậ,406350076730296,/story.php?story_fbid=406350076730296&id=137327796965860
Billboard Việt Nam,,2019-10-11 14:54:32,Tình bể bình luôn! #officialbillboardvietnam,28,22,1,5,,,,Bình luậ,406333950065242,/story.php?story_fbid=406333950065242&id=137327796965860
Billboard Việt Nam,,2019-10-11 11:33:46,"#FridayMusic CHÚT LÃNG MẠNG CUỐI TUẦN VỚI ""FALLING IN LOVE""... Để ra mắt một ca khúc trữ tình và lãng mạn như thế này thì Cigarettes After Sex đã hoàn tất thu âm trên hòn đảo Mollorca thơ mộng ở Tây Ban Nha. Trước đó thủ lĩnh Gonzalez đã đến đảo để tìm cảm hứng viết ra giai điệu ca khúc nhưng anh cũng đành ra về khi bài hát vẫn còn dang dở. Phải mất đúng 2 năm và một chút lãng mạn ngoài đời đã giúp anh viết nên ca từ hoàn thiện. Chính nhờ vào tình yêu đã làm nên một ca khúc chạm đến con tim người nghe như vậy đấy. Thế thì hỡi những ai đang yêu, đã yêu hay thậm chí chưa từng bao giờ rơi vào lưới tình hãy cùng Billboard Việt Nam khám phá những cung bậc của tình yêu trong ca khúc ""Falling In Love"" nhé! #officialbillboardvietnam",64,51,,13,,,,3 bình luậ,406264380072199,/story.php?story_fbid=406264380072199&id=137327796965860
Billboard Việt Nam,,2019-10-11 09:59:53,Thở cũng ra tiền chỉ có thể là đẳng cấp của GD! #officialbillboardvietnam,"3,3K","2,9K",118,324,8,3,,19 bình luậ,406230310075606,/story.php?story_fbid=406230310075606&id=137327796965860
Billboard Việt Nam,,2019-10-10 23:18:16,"#SongChoice 🎵 Nghe Em - Thịnh Suy https://www.youtube.com/watch?v=EN1bplFXfIw https://billboardvn.vn/nghe-em-cua-thinh-suy-noi-bao-loi-nhung-con-loi-yeu-toi-giu-mai-trong-long #125. Nỗi nhớ về người cũ với nhiều người thật không nên chút nào, nhưng với tôi nhớ về người cũ chính là trân trọng bản thân ở quá khứ đã có một chuyện tình khắc cốt ghi tâm như vậy. Chỉ là người ta vẫn còn quan tâm nên mới nhớ thôi! Nếu gặp lại người đó hãy gửi một câu chào rằng anh vẫn ổn, vẫn sống vui khi thiếu vắng em, rồi mọi chuyện sẽ ổn, sau cơn mưa sẽ là ngày nắng ửng hồng. Hy vọng một ngày nào đó, anh sẽ lại yêu, lại thương, sẽ dừng lại trên hành trình độc hành để nắm tay một người lâu thật lâu, nhé! ----------------------------- 💌 Các bạn đừng quên gửi câu chuyện của mình cùng ca khúc yêu cầu về hộp thư cảm xúc #SongChoice của Billboard Việt Nam dưới đây nhé: http://bit.ly/songchoicebbvn #OfficialBillboardVietNam #HộpThưCảmXúc #SongChoice #NgheBạnMỗiNgày",207,174,,25,1,7,,2 bình luậ,405985220100115,/story.php?story_fbid=405985220100115&id=137327796965860
Billboard Việt Nam,,2019-10-10 19:00:00,Đằng sau những MV xịn sò là cả núi tiền được vung ra! #officialbillboardvietnam,304,294,3,6,,1,,5 bình luậ,405833786781925,/story.php?story_fbid=405833786781925&id=137327796965860
Billboard Việt Nam,,2019-10-10 18:05:43,Bạn thích nhất ca khúc nào của Min? #officialbillboardvietnam,385,336,1,47,1,,,130 bình luậ,405828133449157,/story.php?story_fbid=405828133449157&id=137327796965860
Billboard Việt Nam,,2019-10-10 16:10:16,Thực hư ra sao đây? #officialbillboardvietnam,684,669,7,2,5,1,,2 bình luậ,405781393453831,/story.php?story_fbid=405781393453831&id=137327796965860
Billboard Việt Nam,,2019-10-10 15:04:29,"Đây là ca khúc nằm trong “Head In The Clouds II” - một album tổng hợp các ca khúc của những nghệ sĩ trực thuộc hãng đĩa Hip hop 88rising. Điều đặc biệt là trong album này sẽ có những màn hợp tác cực kỳ thú vị giữa các nghệ sĩ nổi tiếng ở châu Á và Mỹ với nhau tạo nên tính toàn cầu hóa cho từng ca khúc.  Billboard Việt Nam tung thính nhẹ là ngày mai 88rising sẽ phát hành tiếp ca khúc tiếp theo trong album với cái bắt tay lần đầu giữa bộ đôi DJ hàng đầu thế giới cùng siêu sao người Trung hiện đang ở trong một nhóm nhạc nam Kpop hàng đầu và nhạc sĩ - ca sĩ người Nhật. Hẳn là mọi người đang tò mò lắm phải không nào, hãy theo dõi Billboard Việt Nam để đón xem đó là những cái tên nào nhé! #officialbillboardvietnam",61,55,,5,1,,,2 bình luậ,405758300122807,/story.php?story_fbid=405758300122807&id=137327796965860
